,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,sca_types_sca,sca_types_passlive,sca_types_passdead,sca_types_drib,sca_types_sh,sca_types_fld,sca_types_def,gca_types_gca,gca_types_passlive,gca_types_passdead,gca_types_drib,gca_types_sh,gca_types_fld,gca_types_def,team
39,2022-10-09,21:00,La Liga,Matchweek 8,Sun,Home,W,1,0,Celta Vigo,27.0,19.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Barcelona
40,2022-10-12,21:00,Champions Lg,Group stage,Wed,Home,D,3,3,it Inter,47.0,40.0,3.0,0.0,1.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Barcelona
41,2022-10-16,16:15,La Liga,Matchweek 9,Sun,Away,L,1,3,Real Madrid,32.0,23.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Barcelona
42,2022-10-20,21:00,La Liga,Matchweek 10,Thu,Home,W,3,0,Villarreal,29.0,23.0,0.0,4.0,1.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,Barcelona
43,2022-10-23,21:00,La Liga,Matchweek 11,Sun,Home,W,4,0,Athletic Club,20.0,16.0,0.0,2.0,2.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,Barcelona
44,2022-10-26,21:00,Champions Lg,Group stage,Wed,Home,L,0,3,de Bayern Munich,15.0,10.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
45,2022-08-15,19:30,La Liga,Matchweek 1,Mon,Away,W,3,0,Getafe,19.0,17.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
46,2022-08-21,19:30,La Liga,Matchweek 2,Sun,Home,L,0,2,Villarreal,22.0,18.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
47,2022-08-29,22:00,La Liga,Matchweek 3,Mon,Away,W,1,0,Valencia,19.0,13.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,Atletico Madrid
48,2022-09-03,18:30,La Liga,Matchweek 4,Sat,Away,D,1,1,Real Sociedad,27.0,18.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Atletico Madrid
