,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
3213,26.0,Thu,2018-03-01,21:30,Alavés,1–0,Levante,16812.0,Estadio de Mendizorroza,David Fernández,2.5,0.4
3215,27.0,Sat,2018-03-03,13:00,Villarreal,0–2,Girona,14540.0,Estadio de la Cerámica,Pablo González,0.6,0.4
3216,27.0,Sat,2018-03-03,16:15,Sevilla,2–0,Athletic Club,25185.0,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,1.9,0.6
3217,27.0,Sat,2018-03-03,18:30,La Coruña,1–1,Eibar,19317.0,Estadio Municipal de Riazor,Santiago Jaime,1.8,0.9
3218,27.0,Sat,2018-03-03,18:30,Leganés,2–0,Málaga,6937.0,Estadio Municipal de Butarque,Ignacio Iglesias,0.6,0.4
3219,27.0,Sat,2018-03-03,20:45,Real Madrid,3–1,Getafe,55106.0,Estadio Santiago Bernabéu,Mario Melero,1.5,0.9
3220,27.0,Sun,2018-03-04,12:00,Levante,1–1,Espanyol,17143.0,Estadio Ciudad de Valencia,Alberola Rojas,1.4,1.1
3221,27.0,Sun,2018-03-04,16:15,Barcelona,1–0,Atlético Madrid,90356.0,Camp Nou,Jesús Gil,1.2,0.2
3222,27.0,Sun,2018-03-04,18:30,Real Sociedad,2–1,Alavés,21445.0,Estadio Municipal de Anoeta,Juan Martínez,2.0,0.3
3223,27.0,Sun,2018-03-04,20:45,Valencia,2–0,Betis,35565.0,Estadio de Mestalla,Alejandro Hernández,1.5,0.5
3224,27.0,Mon,2018-03-05,21:00,Celta Vigo,2–1,Las Palmas,11276.0,Estadio de Balaídos,Ricardo de Burgos,1.4,0.4
3226,28.0,Fri,2018-03-09,21:00,Girona,2–0,La Coruña,10663.0,Estadi Municipal de Montilivi,Alberto Undiano,0.7,0.6
3227,28.0,Sat,2018-03-10,13:00,Eibar,1–2,Real Madrid,6707.0,Estadio Municipal de Ipurúa,José Munuera,1.1,2.0
3228,28.0,Sat,2018-03-10,16:15,Sevilla,0–2,Valencia,33287.0,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,2.0,1.4
3229,28.0,Sat,2018-03-10,18:30,Getafe,0–1,Levante,8136.0,Coliseum Alfonso Pérez,Daniel Trujillo,2.2,1.2
3230,28.0,Sat,2018-03-10,20:45,Málaga,0–2,Barcelona,26667.0,Estadio La Rosaleda,Juan Martínez,0.6,2.3
3231,28.0,Sun,2018-03-11,12:00,Espanyol,2–1,Real Sociedad,20314.0,RCDE Stadium,Antonio Matéu Lahoz,2.3,0.8
3232,28.0,Sun,2018-03-11,16:15,Atlético Madrid,3–0,Celta Vigo,55076.0,Estadio Wanda Metropolitano,Alberola Rojas,0.9,0.9
3233,28.0,Sun,2018-03-11,17:30,Las Palmas,0–2,Villarreal,18907.0,Estadio de Gran Canaria,David Medié,0.8,2.0
3234,28.0,Sun,2018-03-11,20:45,Athletic Club,2–0,Leganés,30787.0,San Mamés,José Sánchez,0.6,0.9
3235,28.0,Mon,2018-03-12,21:00,Alavés,1–3,Betis,17239.0,Estadio de Mendizorroza,Carlos del Cerro,1.1,1.0
3237,29.0,Fri,2018-03-16,21:00,Levante,2–1,Eibar,16028.0,Estadio Ciudad de Valencia,Ignacio Iglesias,1.5,1.6
3238,29.0,Sat,2018-03-17,13:00,La Coruña,1–1,Las Palmas,18773.0,Estadio Municipal de Riazor,Juan Martínez,1.3,0.3
3239,29.0,Sat,2018-03-17,16:15,Valencia,3–1,Alavés,35264.0,Estadio de Mestalla,José Munuera,2.7,1.2
3240,29.0,Sat,2018-03-17,18:30,Real Sociedad,1–2,Getafe,17509.0,Estadio Municipal de Anoeta,Javier Estrada,0.6,1.3
3241,29.0,Sat,2018-03-17,20:45,Betis,3–0,Espanyol,31230.0,Estadio Benito Villamarín,Ricardo de Burgos,0.6,0.2
3242,29.0,Sun,2018-03-18,12:00,Leganés,2–1,Sevilla,10037.0,Estadio Municipal de Butarque,Alberola Rojas,0.6,0.5
3243,29.0,Sun,2018-03-18,16:15,Barcelona,2–0,Athletic Club,84053.0,Camp Nou,Santiago Jaime,1.8,0.8
3244,29.0,Sun,2018-03-18,18:30,Villarreal,2–1,Atlético Madrid,19385.0,Estadio de la Cerámica,David Fernández,1.1,1.3
3245,29.0,Sun,2018-03-18,18:30,Celta Vigo,0–0,Málaga,17230.0,Estadio de Balaídos,Alberto Undiano,1.8,0.5
3246,29.0,Sun,2018-03-18,20:45,Real Madrid,6–3,Girona,59097.0,Estadio Santiago Bernabéu,Jesús Gil,3.4,1.7
3248,30.0,Sat,2018-03-31,13:00,Girona,1–1,Levante,11391.0,Estadi Municipal de Montilivi,Ricardo de Burgos,1.0,1.6
3249,30.0,Sat,2018-03-31,16:15,Athletic Club,1–1,Celta Vigo,33657.0,San Mamés,Carlos del Cerro,1.7,0.6
3250,30.0,Sat,2018-03-31,17:30,Las Palmas,0–3,Real Madrid,22942.0,Estadio de Gran Canaria,Pablo González,1.6,4.0
3251,30.0,Sat,2018-03-31,20:45,Sevilla,2–2,Barcelona,37588.0,Estadio Ramón Sánchez Pizjuán,José González,3.0,2.1
3252,30.0,Sun,2018-04-01,12:00,Espanyol,0–0,Alavés,15448.0,RCDE Stadium,Ignacio Iglesias,0.9,0.8
3253,30.0,Sun,2018-04-01,16:15,Leganés,0–1,Valencia,10697.0,Estadio Municipal de Butarque,Mario Melero,0.6,0.2
3254,30.0,Sun,2018-04-01,18:30,Eibar,0–0,Real Sociedad,6233.0,Estadio Municipal de Ipurúa,José Sánchez,0.7,0.5
3255,30.0,Sun,2018-04-01,18:30,Málaga,1–0,Villarreal,19142.0,Estadio La Rosaleda,Alfonso Álvarez,1.7,0.4
3256,30.0,Sun,2018-04-01,20:45,Atlético Madrid,1–0,La Coruña,49351.0,Estadio Wanda Metropolitano,Daniel Trujillo,1.4,1.1
3257,30.0,Mon,2018-04-02,21:00,Getafe,0–1,Betis,10628.0,Coliseum Alfonso Pérez,Alberto Undiano,1.6,0.3
3259,31.0,Fri,2018-04-06,21:00,La Coruña,3–2,Málaga,16932.0,Estadio Municipal de Riazor,Antonio Matéu Lahoz,1.9,0.6
3260,31.0,Sat,2018-04-07,13:00,Alavés,2–0,Getafe,18241.0,Estadio de Mendizorroza,Santiago Jaime,1.0,1.0
3261,31.0,Sat,2018-04-07,16:15,Celta Vigo,4–0,Sevilla,16919.0,Estadio de Balaídos,Alfonso Álvarez,2.0,1.4
3262,31.0,Sat,2018-04-07,18:30,Betis,2–0,Eibar,50194.0,Estadio Benito Villamarín,David Medié,1.6,0.5
3263,31.0,Sat,2018-04-07,20:45,Barcelona,3–1,Leganés,72126.0,Camp Nou,Ricardo de Burgos,2.4,0.6
3264,31.0,Sun,2018-04-08,12:00,Levante,2–1,Las Palmas,18402.0,Estadio Ciudad de Valencia,David Fernández,1.6,1.2
3265,31.0,Sun,2018-04-08,16:15,Real Madrid,1–1,Atlético Madrid,78769.0,Estadio Santiago Bernabéu,Javier Estrada,2.0,1.2
3266,31.0,Sun,2018-04-08,18:30,Real Sociedad,5–0,Girona,18027.0,Estadio Municipal de Anoeta,José Munuera,2.4,0.6
3267,31.0,Sun,2018-04-08,20:45,Valencia,1–0,Espanyol,36296.0,Estadio de Mestalla,Jesús Gil,1.1,1.1
3268,31.0,Mon,2018-04-09,21:00,Villarreal,1–3,Athletic Club,14879.0,Estadio de la Cerámica,Ignacio Iglesias,0.6,2.6
3270,32.0,Fri,2018-04-13,21:00,Girona,0–1,Betis,11286.0,Estadi Municipal de Montilivi,Santiago Jaime,0.9,1.3
3271,32.0,Sat,2018-04-14,13:00,Sevilla,2–2,Villarreal,32192.0,Estadio Ramón Sánchez Pizjuán,Pablo González,2.0,0.8
3272,32.0,Sat,2018-04-14,16:15,Barcelona,2–1,Valencia,69544.0,Camp Nou,Carlos del Cerro,1.7,2.5
3273,32.0,Sat,2018-04-14,17:30,Las Palmas,0–1,Real Sociedad,10531.0,Estadio de Gran Canaria,Alfonso Álvarez,0.9,2.7
3274,32.0,Sat,2018-04-14,18:30,Leganés,1–0,Celta Vigo,10393.0,Estadio Municipal de Butarque,Alejandro Hernández,2.6,0.5
3275,32.0,Sat,2018-04-14,20:45,Athletic Club,2–3,La Coruña,37715.0,San Mamés,José González,1.1,1.5
3276,32.0,Sun,2018-04-15,12:00,Eibar,0–1,Alavés,5754.0,Estadio Municipal de Ipurúa,Alberto Undiano,1.3,0.1
3277,32.0,Sun,2018-04-15,16:15,Atlético Madrid,3–0,Levante,58043.0,Estadio Wanda Metropolitano,Jesús Gil,1.3,0.7
3278,32.0,Sun,2018-04-15,18:30,Getafe,1–0,Espanyol,10593.0,Coliseum Alfonso Pérez,Mario Melero,0.5,0.7
3279,32.0,Sun,2018-04-15,20:45,Málaga,1–2,Real Madrid,27112.0,Estadio La Rosaleda,Ricardo de Burgos,1.1,2.3
3281,33.0,Tue,2018-04-17,19:30,La Coruña,0–0,Sevilla,24374.0,Estadio Municipal de Riazor,David Medié,2.2,1.7
3282,33.0,Tue,2018-04-17,21:00,Celta Vigo,2–2,Barcelona,20347.0,Estadio de Balaídos,David Fernández,3.1,1.7
3283,33.0,Tue,2018-04-17,21:30,Villarreal,2–1,Leganés,12556.0,Estadio de la Cerámica,Daniel Trujillo,1.3,0.3
3284,33.0,Wed,2018-04-18,19:30,Espanyol,0–1,Eibar,12113.0,RCDE Stadium,Alejandro Hernández,1.0,0.3
3285,33.0,Wed,2018-04-18,19:30,Valencia,1–2,Getafe,35829.0,Estadio de Mestalla,Ricardo de Burgos,1.1,0.7
3286,33.0,Wed,2018-04-18,21:30,Real Madrid,1–1,Athletic Club,59193.0,Estadio Santiago Bernabéu,Juan Martínez,2.0,0.8
3287,33.0,Thu,2018-04-19,19:30,Alavés,1–2,Girona,18366.0,Estadio de Mendizorroza,Pablo González,1.2,1.7
3288,33.0,Thu,2018-04-19,19:30,Real Sociedad,3–0,Atlético Madrid,21404.0,Estadio Municipal de Anoeta,Alberola Rojas,1.2,0.6
3289,33.0,Thu,2018-04-19,21:30,Levante,1–0,Málaga,17372.0,Estadio Ciudad de Valencia,Santiago Jaime,1.0,0.5
3290,33.0,Thu,2018-04-19,21:30,Betis,1–0,Las Palmas,45151.0,Estadio Benito Villamarín,José Sánchez,2.0,0.1
3292,34.0,Fri,2018-04-20,21:00,Leganés,0–0,La Coruña,10124.0,Estadio Municipal de Butarque,Alfonso Álvarez,0.5,0.7
3293,34.0,Sat,2018-04-21,13:00,Eibar,0–1,Getafe,4860.0,Estadio Municipal de Ipurúa,Ignacio Iglesias,0.9,0.5
3294,34.0,Sat,2018-04-21,16:15,Celta Vigo,1–1,Valencia,17316.0,Estadio de Balaídos,Alberto Undiano,0.6,1.8
3295,34.0,Sun,2018-04-22,12:00,Girona,0–2,Espanyol,12313.0,Estadi Municipal de Montilivi,Alberola Rojas,1.9,0.8
3296,34.0,Sun,2018-04-22,16:15,Málaga,2–0,Real Sociedad,14102.0,Estadio La Rosaleda,Javier Estrada,0.7,1.3
3297,34.0,Sun,2018-04-22,17:30,Las Palmas,0–4,Alavés,7143.0,Estadio de Gran Canaria,Mario Melero,0.6,1.1
3298,34.0,Sun,2018-04-22,20:45,Atlético Madrid,0–0,Betis,200.0,Estadio Wanda Metropolitano,Juan Martínez,1.2,0.5
3299,34.0,Mon,2018-04-23,21:00,Athletic Club,1–3,Levante,24587.0,San Mamés,José Munuera,1.3,0.9
3301,35.0,Fri,2018-04-27,21:00,Levante,2–1,Sevilla,17240.0,Estadio Ciudad de Valencia,José González,1.7,1.2
3302,35.0,Sat,2018-04-28,13:00,Espanyol,1–1,Las Palmas,13589.0,RCDE Stadium,Pablo González,1.5,1.8
3303,35.0,Sat,2018-04-28,16:15,Real Sociedad,3–1,Athletic Club,23972.0,Estadio Municipal de Anoeta,José Sánchez,1.0,1.2
3304,35.0,Sat,2018-04-28,18:30,Real Madrid,2–1,Leganés,59905.0,Estadio Santiago Bernabéu,Ignacio Iglesias,1.9,1.8
3305,35.0,Sat,2018-04-28,20:45,Villarreal,4–1,Celta Vigo,14135.0,Estadio de la Cerámica,Alberola Rojas,4.2,2.2
3306,35.0,Sun,2018-04-29,12:00,Getafe,1–1,Girona,8011.0,Coliseum Alfonso Pérez,Alejandro Hernández,2.0,1.7
3307,35.0,Sun,2018-04-29,16:15,Alavés,0–1,Atlético Madrid,18944.0,Estadio de Mendizorroza,David Fernández,0.9,2.6
3308,35.0,Sun,2018-04-29,18:30,Valencia,0–0,Eibar,40328.0,Estadio de Mestalla,Santiago Jaime,0.9,0.7
3309,35.0,Sun,2018-04-29,20:45,La Coruña,2–4,Barcelona,25721.0,Estadio Municipal de Riazor,Ricardo de Burgos,2.5,3.5
3310,35.0,Mon,2018-04-30,21:00,Betis,2–1,Málaga,53163.0,Estadio Benito Villamarín,Carlos del Cerro,1.0,0.9
3312,36.0,Fri,2018-05-04,21:00,Sevilla,1–0,Real Sociedad,34733.0,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,2.2,0.9
3313,36.0,Sat,2018-05-05,13:00,Girona,1–4,Eibar,9706.0,Estadi Municipal de Montilivi,Daniel Trujillo,2.1,1.7
3314,36.0,Sat,2018-05-05,16:15,Athletic Club,2–0,Betis,34491.0,San Mamés,Alberola Rojas,1.9,0.4
3315,36.0,Sat,2018-05-05,18:30,Celta Vigo,1–1,La Coruña,20816.0,Estadio de Balaídos,Carlos del Cerro,1.8,0.5
3316,36.0,Sat,2018-05-05,20:45,Villarreal,1–0,Valencia,19079.0,Estadio de la Cerámica,Jesús Gil,1.3,0.5
3317,36.0,Sun,2018-05-06,12:00,Málaga,0–3,Alavés,14024.0,Estadio La Rosaleda,José González,0.9,1.0
3318,36.0,Sun,2018-05-06,16:15,Atlético Madrid,0–2,Espanyol,49834.0,Estadio Wanda Metropolitano,José Munuera,0.7,1.0
3319,36.0,Sun,2018-05-06,17:30,Las Palmas,0–1,Getafe,4624.0,Estadio de Gran Canaria,Alberto Undiano,1.4,1.3
3320,36.0,Sun,2018-05-06,20:45,Barcelona,2–2,Real Madrid,97939.0,Camp Nou,Alejandro Hernández,1.3,2.1
3321,36.0,Mon,2018-05-07,21:00,Leganés,0–3,Levante,7832.0,Estadio Municipal de Butarque,José Sánchez,1.5,1.2
3323,34.0,Wed,2018-05-09,20:00,Barcelona,5–1,Villarreal,54743.0,Camp Nou,José Sánchez,3.3,1.2
3324,34.0,Wed,2018-05-09,21:30,Sevilla,3–2,Real Madrid,38524.0,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,2.2,2.5
3326,37.0,Sat,2018-05-12,16:15,Real Sociedad,3–2,Leganés,19981.0,Estadio Municipal de Anoeta,David Medié,2.3,1.2
3327,37.0,Sat,2018-05-12,18:30,Girona,0–1,Valencia,10850.0,Estadi Municipal de Montilivi,Ignacio Iglesias,1.1,1.0
3328,37.0,Sat,2018-05-12,18:30,La Coruña,2–4,Villarreal,12789.0,Estadio Municipal de Riazor,Alejandro Hernández,1.7,2.4
3329,37.0,Sat,2018-05-12,18:30,Betis,2–2,Sevilla,55588.0,Estadio Benito Villamarín,Alfonso Álvarez,1.1,1.6
3330,37.0,Sat,2018-05-12,18:30,Getafe,0–1,Atlético Madrid,12187.0,Coliseum Alfonso Pérez,Alberola Rojas,1.3,0.9
3331,37.0,Sat,2018-05-12,18:30,Eibar,1–0,Las Palmas,5107.0,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz,1.2,0.8
3332,37.0,Sat,2018-05-12,18:30,Alavés,3–1,Athletic Club,19458.0,Estadio de Mendizorroza,Javier Estrada,1.1,0.5
3333,37.0,Sat,2018-05-12,20:45,Real Madrid,6–0,Celta Vigo,56474.0,Estadio Santiago Bernabéu,Pablo González,1.8,0.3
3334,37.0,Sun,2018-05-13,16:15,Espanyol,4–1,Málaga,15004.0,RCDE Stadium,Juan Martínez,4.0,1.8
3335,37.0,Sun,2018-05-13,20:45,Levante,5–4,Barcelona,22384.0,Estadio Ciudad de Valencia,Mario Melero,3.7,2.3
3337,38.0,Sat,2018-05-19,13:00,Celta Vigo,4–2,Levante,10480.0,Estadio de Balaídos,Ricardo de Burgos,4.1,0.4
3338,38.0,Sat,2018-05-19,16:15,Leganés,3–2,Betis,10813.0,Estadio Municipal de Butarque,Jesús Gil,1.5,1.9
3339,38.0,Sat,2018-05-19,17:30,Las Palmas,1–2,Girona,6362.0,Estadio de Gran Canaria,Santiago Jaime,1.2,1.4
3340,38.0,Sat,2018-05-19,18:30,Málaga,0–1,Getafe,9570.0,Estadio La Rosaleda,Daniel Trujillo,0.8,1.3
3341,38.0,Sat,2018-05-19,18:30,Sevilla,1–0,Alavés,22513.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,1.8,0.8
3342,38.0,Sat,2018-05-19,20:45,Villarreal,2–2,Real Madrid,18891.0,Estadio de la Cerámica,José Sánchez,1.4,0.9
3343,38.0,Sun,2018-05-20,12:00,Valencia,2–1,La Coruña,35376.0,Estadio de Mestalla,David Medié,1.5,1.4
3344,38.0,Sun,2018-05-20,16:15,Athletic Club,0–1,Espanyol,28492.0,San Mamés,David Fernández,1.1,1.3
3345,38.0,Sun,2018-05-20,18:30,Atlético Madrid,2–2,Eibar,63229.0,Estadio Wanda Metropolitano,Alfonso Álvarez,1.2,1.0
3346,38.0,Sun,2018-05-20,20:45,Barcelona,1–0,Real Sociedad,84168.0,Camp Nou,José Munuera,1.1,0.7
3347,1.0,Fri,2019-08-16,21:00,Athletic Club,1–0,Barcelona,47693.0,San Mamés,Carlos del Cerro,0.5,0.9
3348,1.0,Sat,2019-08-17,17:00,Celta Vigo,1–3,Real Madrid,23566.0,Estadio de Balaídos,Javier Estrada,0.8,1.5
3349,1.0,Sat,2019-08-17,19:00,Valencia,1–1,Real Sociedad,41846.0,Estadio de Mestalla,Jesús Gil,2.3,1.3
3350,1.0,Sat,2019-08-17,20:00,Mallorca,2–1,Eibar,15127.0,Iberostar Estadi,Mario Melero,1.7,0.7
3351,1.0,Sat,2019-08-17,21:00,Villarreal,4–4,Granada,14753.0,Estadio de la Cerámica,Adrián Cordero,1.6,2.2
3352,1.0,Sat,2019-08-17,21:00,Leganés,0–1,Osasuna,10020.0,Estadio Municipal de Butarque,Alberola Rojas,1.0,0.2
3353,1.0,Sun,2019-08-18,17:00,Alavés,1–0,Levante,12029.0,Estadio de Mendizorroza,César Soto,0.4,0.6
3354,1.0,Sun,2019-08-18,19:00,Espanyol,0–2,Sevilla,19832.0,RCDE Stadium,Juan Martínez,0.2,1.3
3355,1.0,Sun,2019-08-18,21:00,Betis,1–2,Valladolid,51497.0,Estadio Benito Villamarín,Santiago Jaime,0.9,0.7
3356,1.0,Sun,2019-08-18,22:00,Atlético Madrid,1–0,Getafe,55099.0,Estadio Wanda Metropolitano,Guillermo Cuadra,1.6,0.4
3358,2.0,Fri,2019-08-23,20:00,Granada,0–1,Sevilla,15849.0,Estadio Nuevo Los Cármenes,José Sánchez,0.6,0.5
3359,2.0,Fri,2019-08-23,22:00,Levante,2–1,Villarreal,20240.0,Estadio Ciudad de Valencia,José Luis Munuera,2.0,2.8
3360,2.0,Sat,2019-08-24,17:00,Osasuna,0–0,Eibar,13978.0,Estadio El Sadar,David Medié,0.6,0.6
3361,2.0,Sat,2019-08-24,19:00,Real Madrid,1–1,Valladolid,63037.0,Estadio Santiago Bernabéu,Pablo González,1.1,0.6
3362,2.0,Sat,2019-08-24,21:00,Celta Vigo,1–0,Valencia,20034.0,Estadio de Balaídos,Alejandro Hernández,1.8,0.9
3363,2.0,Sat,2019-08-24,21:00,Getafe,1–1,Athletic Club,10103.0,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,0.3,0.3
3364,2.0,Sun,2019-08-25,17:00,Alavés,0–0,Espanyol,14567.0,Estadio de Mendizorroza,Eduardo Prieto,0.5,0.1
3365,2.0,Sun,2019-08-25,17:00,Mallorca,0–1,Real Sociedad,18028.0,Iberostar Estadi,Valentín Pizarro,0.8,1.3
3366,2.0,Sun,2019-08-25,19:00,Leganés,0–1,Atlético Madrid,11742.0,Estadio Municipal de Butarque,Ricardo de Burgos,0.4,1.1
3367,2.0,Sun,2019-08-25,21:00,Barcelona,5–2,Betis,79159.0,Camp Nou,José González,1.8,0.2
3369,3.0,Fri,2019-08-30,20:00,Sevilla,1–1,Celta Vigo,37787.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,1.3,0.5
3370,3.0,Fri,2019-08-30,22:00,Athletic Club,2–0,Real Sociedad,46697.0,San Mamés,Javier Estrada,0.9,0.3
3371,3.0,Sat,2019-08-31,17:00,Osasuna,2–2,Barcelona,16742.0,Estadio El Sadar,Juan Martínez,1.5,0.4
3372,3.0,Sat,2019-08-31,19:00,Getafe,1–1,Alavés,10806.0,Coliseum Alfonso Pérez,Mario Melero,1.1,0.9
3373,3.0,Sat,2019-08-31,19:00,Levante,2–0,Valladolid,19347.0,Estadio Ciudad de Valencia,Adrián Cordero,1.6,1.0
3374,3.0,Sat,2019-08-31,21:00,Betis,2–1,Leganés,47819.0,Estadio Benito Villamarín,Guillermo Cuadra,1.5,1.0
3375,3.0,Sun,2019-09-01,17:00,Valencia,2–0,Mallorca,40441.0,Estadio de Mestalla,Alberola Rojas,2.1,1.2
3376,3.0,Sun,2019-09-01,19:00,Espanyol,0–3,Granada,20870.0,RCDE Stadium,César Soto,0.9,1.4
3377,3.0,Sun,2019-09-01,19:00,Atlético Madrid,3–2,Eibar,56664.0,Estadio Wanda Metropolitano,Santiago Jaime,1.6,0.6
3378,3.0,Sun,2019-09-01,21:00,Villarreal,2–2,Real Madrid,20128.0,Estadio de la Cerámica,Jesús Gil,1.6,1.7
3380,4.0,Fri,2019-09-13,21:00,Mallorca,0–0,Athletic Club,16390.0,Iberostar Estadi,Pablo González,1.6,1.2
3381,4.0,Sat,2019-09-14,13:00,Real Madrid,3–2,Levante,60401.0,Estadio Santiago Bernabéu,Ricardo de Burgos,2.5,0.7
3382,4.0,Sat,2019-09-14,16:00,Leganés,0–3,Villarreal,7670.0,Estadio Municipal de Butarque,David Medié,0.6,0.9
3383,4.0,Sat,2019-09-14,18:30,Real Sociedad,2–0,Atlético Madrid,34719.0,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,1.3,1.0
3384,4.0,Sat,2019-09-14,21:00,Barcelona,5–2,Valencia,81617.0,Camp Nou,José Sánchez,2.1,1.3
3385,4.0,Sun,2019-09-15,12:00,Eibar,1–2,Espanyol,5410.0,Estadio Municipal de Ipurúa,Valentín Pizarro,0.5,1.5
3386,4.0,Sun,2019-09-15,14:00,Alavés,0–1,Sevilla,16309.0,Estadio de Mendizorroza,Alejandro Hernández,0.5,1.3
3387,4.0,Sun,2019-09-15,16:00,Celta Vigo,0–2,Granada,18259.0,Estadio de Balaídos,Eduardo Prieto,0.2,1.1
3388,4.0,Sun,2019-09-15,18:30,Valladolid,1–1,Osasuna,20670.0,Estadio Municipal José Zorrilla,José Luis Munuera,0.7,1.9
3389,4.0,Sun,2019-09-15,21:00,Betis,1–1,Getafe,47884.0,Estadio Benito Villamarín,José González,0.9,1.4
3391,5.0,Fri,2019-09-20,21:00,Osasuna,0–0,Betis,15569.0,Estadio El Sadar,Carlos del Cerro,1.5,0.4
3392,5.0,Sat,2019-09-21,13:00,Villarreal,2–0,Valladolid,16195.0,Estadio de la Cerámica,César Soto,2.0,0.5
3393,5.0,Sat,2019-09-21,16:00,Levante,0–0,Eibar,18904.0,Estadio Ciudad de Valencia,Alberola Rojas,1.0,1.4
3394,5.0,Sat,2019-09-21,18:30,Atlético Madrid,0–0,Celta Vigo,57701.0,Estadio Wanda Metropolitano,Mario Melero,1.1,0.4
3395,5.0,Sat,2019-09-21,21:00,Granada,2–0,Barcelona,18880.0,Estadio Nuevo Los Cármenes,Guillermo Cuadra,1.7,0.7
3396,5.0,Sun,2019-09-22,12:00,Getafe,4–2,Mallorca,11338.0,Coliseum Alfonso Pérez,Santiago Jaime,2.0,0.7
3397,5.0,Sun,2019-09-22,14:00,Espanyol,1–3,Real Sociedad,19173.0,RCDE Stadium,Adrián Cordero,1.0,1.2
3398,5.0,Sun,2019-09-22,16:00,Valencia,1–1,Leganés,39014.0,Estadio de Mestalla,Javier Estrada,1.4,0.9
3399,5.0,Sun,2019-09-22,18:30,Athletic Club,2–0,Alavés,45143.0,San Mamés,Jesús Gil,2.3,0.5
3400,5.0,Sun,2019-09-22,21:00,Sevilla,0–1,Real Madrid,42354.0,Estadio Ramón Sánchez Pizjuán,Juan Martínez,0.4,0.9
3402,6.0,Tue,2019-09-24,19:00,Valladolid,1–1,Granada,18410.0,Estadio Municipal José Zorrilla,Valentín Pizarro,1.3,0.4
3403,6.0,Tue,2019-09-24,20:00,Betis,3–1,Levante,44560.0,Estadio Benito Villamarín,Eduardo Prieto,2.7,1.2
3404,6.0,Tue,2019-09-24,21:00,Barcelona,2–1,Villarreal,70316.0,Camp Nou,Ricardo de Burgos,0.7,0.5
3405,6.0,Wed,2019-09-25,19:00,Mallorca,0–2,Atlético Madrid,19348.0,Iberostar Estadi,Alejandro Hernández,0.5,1.0
3406,6.0,Wed,2019-09-25,19:00,Leganés,1–1,Athletic Club,11036.0,Estadio Municipal de Butarque,José González,0.4,1.1
3407,6.0,Wed,2019-09-25,20:00,Valencia,3–3,Getafe,37814.0,Estadio de Mestalla,José Luis Munuera,1.1,1.9
3408,6.0,Wed,2019-09-25,21:00,Real Madrid,2–0,Osasuna,57520.0,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,1.2,0.1
3409,6.0,Thu,2019-09-26,19:00,Eibar,3–2,Sevilla,5434.0,Estadio Municipal de Ipurúa,Pablo González,1.6,1.6
3410,6.0,Thu,2019-09-26,20:00,Celta Vigo,1–1,Espanyol,16361.0,Estadio de Balaídos,José Sánchez,0.6,1.4
3411,6.0,Thu,2019-09-26,21:00,Real Sociedad,3–0,Alavés,28720.0,Estadio Municipal de Anoeta,David Medié,3.1,0.2
3413,7.0,Fri,2019-09-27,21:00,Villarreal,5–1,Betis,18135.0,Estadio de la Cerámica,Javier Estrada,3.0,0.8
3414,7.0,Sat,2019-09-28,13:00,Athletic Club,0–1,Valencia,42420.0,San Mamés,Mario Melero,1.1,1.7
3415,7.0,Sat,2019-09-28,16:00,Getafe,0–2,Barcelona,15135.0,Coliseum Alfonso Pérez,Jesús Gil,0.6,1.4
3416,7.0,Sat,2019-09-28,18:30,Granada,1–0,Leganés,15519.0,Estadio Nuevo Los Cármenes,Adrián Cordero,0.7,1.1
3417,7.0,Sat,2019-09-28,21:00,Atlético Madrid,0–0,Real Madrid,68032.0,Estadio Wanda Metropolitano,José González,0.5,0.4
3418,7.0,Sun,2019-09-29,12:00,Espanyol,0–2,Valladolid,20911.0,RCDE Stadium,Guillermo Cuadra,1.1,1.5
3419,7.0,Sun,2019-09-29,14:00,Eibar,2–0,Celta Vigo,5453.0,Estadio Municipal de Ipurúa,Juan Martínez,0.8,0.9
3420,7.0,Sun,2019-09-29,16:00,Alavés,2–0,Mallorca,17135.0,Estadio de Mendizorroza,Carlos del Cerro,1.8,0.1
3421,7.0,Sun,2019-09-29,18:30,Levante,1–1,Osasuna,19362.0,Estadio Ciudad de Valencia,César Soto,1.3,1.1
3422,7.0,Sun,2019-09-29,21:00,Sevilla,3–2,Real Sociedad,37414.0,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,1.3,0.9
3424,8.0,Fri,2019-10-04,21:00,Betis,1–1,Eibar,47056.0,Estadio Benito Villamarín,Alejandro Hernández,1.5,1.3
3425,8.0,Sat,2019-10-05,13:00,Leganés,1–2,Levante,10160.0,Estadio Municipal de Butarque,José Luis Munuera,2.7,1.3
