,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
2041,34.0,Wed,2017-04-26,20:30,Leganés,3–0,Las Palmas,9756.0,Estadio Municipal de Butarque,Iñaki Bikandi,,
2042,34.0,Wed,2017-04-26,21:30,La Coruña,2–6,Real Madrid,26735.0,Estadio Municipal de Riazor,José Sánchez,,
2043,34.0,Thu,2017-04-27,19:30,Alavés,0–0,Eibar,13519.0,Estadio de Mendizorroza,Daniel Trujillo,,
2044,34.0,Thu,2017-04-27,20:30,Sevilla,2–1,Celta Vigo,26100.0,Estadio Ramón Sánchez Pizjuán,Jesús Gil,,
2045,34.0,Thu,2017-04-27,21:30,Athletic Club,2–1,Betis,34074.0,San Mamés,José González,,
2047,35.0,Fri,2017-04-28,20:45,Villarreal,3–1,Sporting Gijón,15120.0,Estadio de la Cerámica,Javier Estrada,,
2048,35.0,Sat,2017-04-29,13:00,Real Sociedad,2–1,Granada,18003.0,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,,
2049,35.0,Sat,2017-04-29,16:15,Real Madrid,2–1,Valencia,75180.0,Estadio Santiago Bernabéu,Jesús Gil,,
2050,35.0,Sat,2017-04-29,17:30,Las Palmas,0–5,Atlético Madrid,23570.0,Estadio de Gran Canaria,Ricardo de Burgos,,
2051,35.0,Sat,2017-04-29,20:45,Espanyol,0–3,Barcelona,31708.0,RCDE Stadium,Alberto Undiano,,
2052,35.0,Sun,2017-04-30,12:00,Osasuna,2–2,La Coruña,12294.0,Estadio El Sadar,Alejandro Hernández,,
2053,35.0,Sun,2017-04-30,16:15,Betis,1–4,Alavés,22271.0,Estadio Benito Villamarín,Daniel Ocón,,
2054,35.0,Sun,2017-04-30,18:30,Eibar,2–0,Leganés,5256.0,Estadio Municipal de Ipurúa,Alfonso Álvarez,,
2055,35.0,Sun,2017-04-30,20:45,Celta Vigo,0–3,Athletic Club,17320.0,Estadio de Balaídos,David Fernández,,
2056,35.0,Mon,2017-05-01,21:00,Málaga,4–2,Sevilla,22971.0,Estadio La Rosaleda,Juan Martínez,,
2058,36.0,Fri,2017-05-05,21:00,Sevilla,1–1,Real Sociedad,28607.0,Estadio Ramón Sánchez Pizjuán,José González,,
2059,36.0,Sat,2017-05-06,13:00,Sporting Gijón,1–0,Las Palmas,21758.0,Estadio Municipal El Molinón,Santiago Jaime,,
2060,36.0,Sat,2017-05-06,16:15,Atlético Madrid,1–0,Eibar,46748.0,Estadio Vicente Calderón,David Fernández,,
2061,36.0,Sat,2017-05-06,18:30,Barcelona,4–1,Villarreal,90463.0,Camp Nou,José Sánchez,,
2062,36.0,Sat,2017-05-06,20:45,Granada,0–4,Real Madrid,19094.0,Estadio Nuevo Los Cármenes,Ignacio Iglesias,,
2063,36.0,Sun,2017-05-07,12:00,Alavés,1–0,Athletic Club,19127.0,Estadio de Mendizorroza,Juan Martínez,,
2064,36.0,Sun,2017-05-07,16:15,Valencia,4–1,Osasuna,24752.0,Estadio de Mestalla,Carlos Clos,,
2065,36.0,Sun,2017-05-07,18:30,La Coruña,1–2,Espanyol,22803.0,Estadio Municipal de Riazor,Antonio Matéu Lahoz,,
2066,36.0,Sun,2017-05-07,20:45,Málaga,3–0,Celta Vigo,20552.0,Estadio La Rosaleda,Carlos del Cerro,,
2067,36.0,Mon,2017-05-08,20:45,Leganés,4–0,Betis,11922.0,Estadio Municipal de Butarque,Daniel Trujillo,,
2069,37.0,Sat,2017-05-13,16:00,Espanyol,0–1,Valencia,20111.0,RCDE Stadium,Daniel Ocón,,
2070,37.0,Sat,2017-05-13,18:30,Osasuna,2–1,Granada,13301.0,Estadio El Sadar,Iñaki Bikandi,,
2071,37.0,Sun,2017-05-14,16:00,Alavés,3–1,Celta Vigo,17624.0,Estadio de Mendizorroza,José Munuera,,
2072,37.0,Sun,2017-05-14,19:00,Las Palmas,1–4,Barcelona,22268.0,Estadio de Gran Canaria,José González,,
