,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,team
1166,2022-05-06,21:00,La Liga,Matchweek 35,Fri,Away,L,1,2,Levante,1.7,2.4,64.0,17278.0,Mikel Merino,4-4-2◆,Alberola Rojas,Real Sociedad
1167,2022-05-12,19:00,La Liga,Matchweek 36,Thu,Home,W,3,0,Cádiz,2.8,1.0,52.0,29014.0,Aritz Elustondo,4-4-2◆,Juan Martínez,Real Sociedad
1168,2022-05-15,19:30,La Liga,Matchweek 37,Sun,Away,W,2,1,Villarreal,2.4,0.7,52.0,16689.0,Asier Illarramendi,4-4-2◆,Pablo González,Real Sociedad
1169,2022-05-22,22:00,La Liga,Matchweek 38,Sun,Home,L,1,2,Atlético Madrid,2.3,0.8,61.0,23586.0,Asier Illarramendi,4-4-2◆,Jesús Gil,Real Sociedad
1170,2021-08-15,20:00,La Liga,Matchweek 1,Sun,Home,W,4,2,Real Sociedad,2.7,0.8,63.0,20384.0,Sergio Busquets,4-3-3,Alejandro Hernández,Barcelona
1171,2021-08-21,22:00,La Liga,Matchweek 2,Sat,Away,D,1,1,Athletic Club,1.0,1.6,67.0,9394.0,Sergio Busquets,4-3-3,Juan Martínez,Barcelona
1172,2021-08-29,17:00,La Liga,Matchweek 3,Sun,Home,W,2,1,Getafe,1.5,0.4,67.0,26543.0,Sergio Busquets,4-3-3,Pablo González,Barcelona
1174,2021-09-20,21:00,La Liga,Matchweek 5,Mon,Home,D,1,1,Granada,1.1,0.6,77.0,27097.0,Sergio Busquets,4-3-3,Santiago Jaime,Barcelona
1175,2021-09-23,22:00,La Liga,Matchweek 6,Thu,Away,D,0,0,Cádiz,0.7,1.6,67.0,12180.0,Sergio Busquets,4-3-3,Carlos del Cerro,Barcelona
1176,2021-09-26,16:15,La Liga,Matchweek 7,Sun,Home,W,3,0,Levante,3.5,1.2,70.0,35334.0,Sergio Busquets,4-2-3-1,Isidro Díaz de Mera,Barcelona
1178,2021-10-02,21:00,La Liga,Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,0.8,1.1,70.0,60594.0,Sergio Busquets,4-2-3-1,César Soto,Barcelona
1179,2021-10-17,21:00,La Liga,Matchweek 9,Sun,Home,W,3,1,Valencia,1.9,0.5,60.0,47317.0,Sergio Busquets,4-3-3,Jesús Gil,Barcelona
1181,2021-10-24,16:15,La Liga,Matchweek 10,Sun,Home,L,1,2,Real Madrid,1.7,1.1,51.0,86422.0,Sergio Busquets,4-3-3,José Sánchez,Barcelona
1182,2021-10-27,19:00,La Liga,Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,2.8,1.0,68.0,9340.0,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Barcelona
1183,2021-10-30,21:00,La Liga,Matchweek 12,Sat,Home,D,1,1,Alavés,1.4,0.8,79.0,37278.0,Sergio Busquets,4-3-3,Jorge Figueroa,Barcelona
1185,2021-11-06,16:15,La Liga,Matchweek 13,Sat,Away,D,3,3,Celta Vigo,0.8,1.7,48.0,13146.0,Sergio Busquets,4-3-3,Alejandro Hernández,Barcelona
1186,2021-11-20,21:00,La Liga,Matchweek 14,Sat,Home,W,1,0,Espanyol,1.5,1.0,65.0,74418.0,Sergio Busquets,4-3-3,Carlos del Cerro,Barcelona
1188,2021-11-27,21:00,La Liga,Matchweek 15,Sat,Away,W,3,1,Villarreal,3.0,1.4,49.0,19050.0,Sergio Busquets,4-3-3,César Soto,Barcelona
1189,2021-12-04,16:15,La Liga,Matchweek 16,Sat,Home,L,0,1,Betis,0.8,0.7,62.0,66529.0,Sergio Busquets,4-3-3,Pablo González,Barcelona
1191,2021-12-12,16:15,La Liga,Matchweek 17,Sun,Away,D,2,2,Osasuna,1.0,0.3,61.0,21427.0,Sergio Busquets,3-5-1-1,Juan Martínez,Barcelona
1192,2021-12-18,18:30,La Liga,Matchweek 18,Sat,Home,W,3,2,Elche,2.9,1.1,71.0,41664.0,Sergio Busquets,3-4-3◆,Alberola Rojas,Barcelona
1193,2021-12-21,21:30,La Liga,Matchweek 4,Tue,Away,D,1,1,Sevilla,1.5,0.2,59.0,31358.0,Sergio Busquets,4-3-3,Carlos del Cerro,Barcelona
1194,2022-01-02,21:00,La Liga,Matchweek 19,Sun,Away,W,1,0,Mallorca,1.2,0.8,63.0,14654.0,Gerard Piqué,4-3-3,Antonio Matéu Lahoz,Barcelona
1196,2022-01-08,18:30,La Liga,Matchweek 20,Sat,Away,D,1,1,Granada,0.6,1.2,65.0,14442.0,Sergio Busquets,4-3-3,Pablo González,Barcelona
1199,2022-01-23,21:00,La Liga,Matchweek 22,Sun,Away,W,1,0,Alavés,1.2,0.5,75.0,14056.0,Sergio Busquets,4-3-3,Jorge Figueroa,Barcelona
1200,2022-02-06,16:15,La Liga,Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,1.1,1.3,56.0,74221.0,Sergio Busquets,4-3-3,Jesús Gil,Barcelona
1201,2022-02-13,21:00,La Liga,Matchweek 24,Sun,Away,D,2,2,Espanyol,1.0,0.7,64.0,25049.0,Sergio Busquets,4-3-3,Alejandro Hernández,Barcelona
1203,2022-02-20,16:15,La Liga,Matchweek 25,Sun,Away,W,4,1,Valencia,2.0,0.9,64.0,38315.0,Sergio Busquets,4-3-3,Carlos del Cerro,Barcelona
1205,2022-02-27,21:00,La Liga,Matchweek 26,Sun,Home,W,4,0,Athletic Club,2.6,0.3,71.0,69770.0,Sergio Busquets,4-3-3,Guillermo Cuadra,Barcelona
1206,2022-03-06,16:15,La Liga,Matchweek 27,Sun,Away,W,2,1,Elche,3.6,1.0,67.0,30146.0,Sergio Busquets,4-3-3,Alejandro Hernández,Barcelona
1208,2022-03-13,21:00,La Liga,Matchweek 28,Sun,Home,W,4,0,Osasuna,3.1,0.2,72.0,54507.0,Sergio Busquets,4-3-3,Ricardo de Burgos,Barcelona
1210,2022-03-20,21:00,La Liga,Matchweek 29,Sun,Away,W,4,0,Real Madrid,3.5,0.8,60.0,60017.0,Sergio Busquets,4-3-3,Juan Martínez,Barcelona
1211,2022-04-03,21:00,La Liga,Matchweek 30,Sun,Home,W,1,0,Sevilla,1.9,0.6,56.0,76112.0,Sergio Busquets,4-3-3,José Sánchez,Barcelona
1213,2022-04-10,21:00,La Liga,Matchweek 31,Sun,Away,W,3,2,Levante,1.3,3.0,63.0,20785.0,Sergio Busquets,4-3-3,José Luis Munuera,Barcelona
1215,2022-04-18,21:00,La Liga,Matchweek 32,Mon,Home,L,0,1,Cádiz,1.2,1.6,74.0,57495.0,Sergio Busquets,4-3-3,Santiago Jaime,Barcelona
1216,2022-04-21,21:30,La Liga,Matchweek 33,Thu,Away,W,1,0,Real Sociedad,1.5,1.3,45.0,35128.0,Sergio Busquets,4-3-3,Carlos del Cerro,Barcelona
1217,2022-04-24,21:00,La Liga,Matchweek 21,Sun,Home,L,0,1,Rayo Vallecano,1.7,0.5,70.0,57023.0,Sergio Busquets,4-3-3,Isidro Díaz de Mera,Barcelona
1218,2022-05-01,21:00,La Liga,Matchweek 34,Sun,Home,W,2,1,Mallorca,1.1,1.3,70.0,62789.0,Sergio Busquets,4-3-3,Pablo González,Barcelona
1219,2022-05-07,21:00,La Liga,Matchweek 35,Sat,Away,W,2,1,Betis,1.0,0.9,57.0,46132.0,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Barcelona
1220,2022-05-10,21:30,La Liga,Matchweek 36,Tue,Home,W,3,1,Celta Vigo,1.1,0.9,54.0,55899.0,Jordi Alba,4-2-3-1,Miguel Ángel Ortiz Arias,Barcelona
1221,2022-05-15,19:30,La Liga,Matchweek 37,Sun,Away,D,0,0,Getafe,0.2,0.2,71.0,13072.0,Sergio Busquets,4-3-3,Jesús Gil,Barcelona
1222,2022-05-22,22:00,La Liga,Matchweek 38,Sun,Home,L,0,2,Villarreal,0.7,0.7,70.0,54850.0,Sergio Busquets,4-3-3,José Luis Munuera,Barcelona
1223,2021-08-14,22:00,La Liga,Matchweek 1,Sat,Home,D,0,0,Espanyol,0.8,0.7,53.0,6715.0,David García,4-4-2,Miguel Ángel Ortiz Arias,Osasuna
1224,2021-08-23,22:00,La Liga,Matchweek 2,Mon,Home,D,0,0,Celta Vigo,2.1,0.2,46.0,7189.0,David García,4-1-4-1,Alberola Rojas,Osasuna
1225,2021-08-29,19:30,La Liga,Matchweek 3,Sun,Away,W,3,2,Cádiz,2.4,1.6,72.0,7452.0,Oier Sanjurjo,4-1-4-1,Adrián Cordero,Osasuna
1226,2021-09-12,16:15,La Liga,Matchweek 4,Sun,Home,L,1,4,Valencia,0.7,0.9,59.0,13940.0,David García,4-1-4-1,Ricardo de Burgos,Osasuna
1227,2021-09-18,21:00,La Liga,Matchweek 5,Sat,Away,W,2,0,Alavés,1.1,0.4,46.0,8176.0,Roberto Torres,4-3-3,Alejandro Hernández,Osasuna
1228,2021-09-23,19:30,La Liga,Matchweek 6,Thu,Home,L,1,3,Betis,0.9,2.3,50.0,13758.0,Roberto Torres,4-3-3,Juan Martínez,Osasuna
1229,2021-09-26,14:00,La Liga,Matchweek 7,Sun,Away,W,3,2,Mallorca,0.8,2.3,45.0,9359.0,Oier Sanjurjo,4-1-4-1,Miguel Ángel Ortiz Arias,Osasuna
1230,2021-10-02,14:00,La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,0.6,0.2,50.0,19238.0,Roberto Torres,4-3-3,Mario Melero,Osasuna
1231,2021-10-17,18:30,La Liga,Matchweek 9,Sun,Away,W,2,1,Villarreal,0.9,0.5,28.0,14831.0,Unai García,3-5-2,Adrián Cordero,Osasuna
1232,2021-10-22,21:00,La Liga,Matchweek 10,Fri,Home,D,1,1,Granada,1.0,0.6,42.0,21128.0,Oier Sanjurjo,4-1-4-1,Alejandro Muñíz,Osasuna
1233,2021-10-27,21:30,La Liga,Matchweek 11,Wed,Away,D,0,0,Real Madrid,0.8,0.8,26.0,35691.0,David García,3-5-2,César Soto,Osasuna
1234,2021-10-30,16:15,La Liga,Matchweek 12,Sat,Away,L,0,2,Sevilla,0.5,2.1,36.0,20335.0,Oier Sanjurjo,4-4-2,Carlos del Cerro,Osasuna
1235,2021-11-07,18:30,La Liga,Matchweek 13,Sun,Home,L,0,2,Real Sociedad,0.5,1.3,44.0,21741.0,Unai García,4-2-3-1,Miguel Ángel Ortiz Arias,Osasuna
1236,2021-11-20,18:30,La Liga,Matchweek 14,Sat,Away,L,0,1,Atlético Madrid,0.3,1.2,39.0,53261.0,David García,3-5-2,José Sánchez,Osasuna
1237,2021-11-29,21:00,La Liga,Matchweek 15,Mon,Home,D,1,1,Elche,2.0,1.3,50.0,16485.0,Oier Sanjurjo,4-4-2,Isidro Díaz de Mera,Osasuna
1239,2021-12-05,18:30,La Liga,Matchweek 16,Sun,Away,D,0,0,Levante,0.3,0.5,42.0,15361.0,Unai García,3-5-2,Valentín Pizarro,Osasuna
1240,2021-12-12,16:15,La Liga,Matchweek 17,Sun,Home,D,2,2,Barcelona,0.3,1.0,39.0,21427.0,David García,4-1-4-1,Juan Martínez,Osasuna
1242,2021-12-19,18:30,La Liga,Matchweek 18,Sun,Away,L,0,1,Getafe,0.3,1.1,51.0,8126.0,Unai García,4-3-3,José Luis Munuera,Osasuna
1243,2022-01-03,21:00,La Liga,Matchweek 19,Mon,Home,L,1,3,Athletic Club,1.0,1.2,58.0,16206.0,David García,3-5-2,Miguel Ángel Ortiz Arias,Osasuna
1245,2022-01-09,18:30,La Liga,Matchweek 20,Sun,Home,W,2,0,Cádiz,2.2,0.2,59.0,16292.0,David García,4-4-2,Ricardo de Burgos,Osasuna
1246,2022-01-19,19:00,La Liga,Matchweek 21,Wed,Away,L,0,2,Celta Vigo,0.5,0.9,53.0,8837.0,Kike Barja,4-2-3-1,Adrián Cordero,Osasuna
1247,2022-01-23,14:00,La Liga,Matchweek 22,Sun,Away,W,2,0,Granada,1.8,0.7,45.0,12471.0,David García,4-4-2,Santiago Jaime,Osasuna
1248,2022-02-05,21:00,La Liga,Matchweek 23,Sat,Home,D,0,0,Sevilla,0.5,1.4,27.0,17635.0,David García,4-1-4-1,Valentín Pizarro,Osasuna
1249,2022-02-12,18:30,La Liga,Matchweek 24,Sat,Away,W,3,0,Rayo Vallecano,1.1,0.7,45.0,8596.0,David García,4-3-3,Jorge Figueroa,Osasuna
1250,2022-02-19,16:15,La Liga,Matchweek 25,Sat,Home,L,0,3,Atlético Madrid,0.7,0.5,62.0,20040.0,David García,4-1-4-1,Mario Melero,Osasuna
1251,2022-02-27,18:30,La Liga,Matchweek 26,Sun,Away,L,0,1,Real Sociedad,0.4,1.2,42.0,30145.0,David García,4-4-1-1,Antonio Matéu Lahoz,Osasuna
1252,2022-03-05,14:00,La Liga,Matchweek 27,Sat,Home,W,1,0,Villarreal,0.8,0.5,28.0,16659.0,David García,4-4-2,José Luis Munuera,Osasuna
1253,2022-03-13,21:00,La Liga,Matchweek 28,Sun,Away,L,0,4,Barcelona,0.2,3.1,28.0,54507.0,David García,4-4-1-1,Ricardo de Burgos,Osasuna
1254,2022-03-19,18:30,La Liga,Matchweek 29,Sat,Home,W,3,1,Levante,2.4,1.1,45.0,19429.0,David García,4-3-3,Alberola Rojas,Osasuna
1255,2022-04-03,16:15,La Liga,Matchweek 30,Sun,Away,L,1,4,Betis,0.5,4.3,46.0,49103.0,David García,4-3-3,Valentín Pizarro,Osasuna
1256,2022-04-10,14:00,La Liga,Matchweek 31,Sun,Home,W,1,0,Alavés,2.2,0.5,65.0,19220.0,David García,4-3-3,Alejandro Muñíz,Osasuna
1257,2022-04-16,18:30,La Liga,Matchweek 32,Sat,Away,W,2,1,Valencia,1.0,1.3,49.0,30148.0,Oier Sanjurjo,4-4-2,Mario Melero,Osasuna
1258,2022-04-20,21:30,La Liga,Matchweek 33,Wed,Home,L,1,3,Real Madrid,1.3,4.5,35.0,21360.0,David García,4-5-1,Ricardo de Burgos,Osasuna
1259,2022-05-01,14:00,La Liga,Matchweek 34,Sun,Away,D,1,1,Elche,1.1,0.4,43.0,16305.0,David García,3-5-2,Carlos del Cerro,Osasuna
1260,2022-05-08,18:30,La Liga,Matchweek 35,Sun,Away,D,1,1,Espanyol,1.1,0.7,50.0,18903.0,David García,4-3-3,Santiago Jaime,Osasuna
1261,2022-05-11,19:00,La Liga,Matchweek 36,Wed,Home,D,1,1,Getafe,0.7,0.3,67.0,17850.0,Oier Sanjurjo,4-2-3-1,Alejandro Muñíz,Osasuna
1262,2022-05-15,19:30,La Liga,Matchweek 37,Sun,Away,L,0,2,Athletic Club,0.5,1.4,55.0,37869.0,Jon Moncayola,4-4-2,Jorge Figueroa,Osasuna
1263,2022-05-22,20:00,La Liga,Matchweek 38,Sun,Home,L,0,2,Mallorca,0.8,1.3,62.0,18717.0,Oier Sanjurjo,4-3-3,César Soto,Osasuna
1264,2021-08-13,21:00,La Liga,Matchweek 1,Fri,Home,W,1,0,Getafe,1.3,1.2,27.0,9868.0,José Luis Gayà,4-4-2,Jesús Gil,Valencia
1265,2021-08-21,19:30,La Liga,Matchweek 2,Sat,Away,D,1,1,Granada,1.9,0.8,52.0,6267.0,José Luis Gayà,4-4-2,Carlos del Cerro,Valencia
1266,2021-08-27,22:15,La Liga,Matchweek 3,Fri,Home,W,3,0,Alavés,1.5,0.4,49.0,10627.0,José Luis Gayà,4-4-2,Miguel Ángel Ortiz Arias,Valencia
1267,2021-09-12,16:15,La Liga,Matchweek 4,Sun,Away,W,4,1,Osasuna,0.9,0.7,41.0,13940.0,José Luis Gayà,4-4-2,Ricardo de Burgos,Valencia
1268,2021-09-19,21:00,La Liga,Matchweek 5,Sun,Home,L,1,2,Real Madrid,0.8,1.1,39.0,26689.0,Carlos Soler,4-4-2,Pablo González,Valencia
1269,2021-09-22,19:30,La Liga,Matchweek 6,Wed,Away,L,1,3,Sevilla,0.5,0.9,42.0,23654.0,Gabriel Paulista,4-4-2,José Sánchez,Valencia
1270,2021-09-25,16:15,La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,0.8,0.9,53.0,13680.0,Gabriel Paulista,4-4-2,Alejandro Hernández,Valencia
1271,2021-10-02,18:30,La Liga,Matchweek 8,Sat,Away,D,0,0,Cádiz,1.4,0.2,68.0,14794.0,Gabriel Paulista,4-4-2,Valentín Pizarro,Valencia
1272,2021-10-17,21:00,La Liga,Matchweek 9,Sun,Away,L,1,3,Barcelona,0.5,1.9,40.0,47317.0,José Luis Gayà,4-1-4-1,Jesús Gil,Valencia
1273,2021-10-23,14:00,La Liga,Matchweek 10,Sat,Home,D,2,2,Mallorca,1.4,0.5,71.0,29139.0,José Luis Gayà,4-4-2,Carlos del Cerro,Valencia
1274,2021-10-27,20:00,La Liga,Matchweek 11,Wed,Away,L,1,4,Betis,1.6,2.1,39.0,43123.0,José Luis Gayà,4-4-2,Isidro Díaz de Mera,Valencia
1275,2021-10-30,18:30,La Liga,Matchweek 12,Sat,Home,W,2,0,Villarreal,1.4,0.8,26.0,31487.0,José Luis Gayà,4-1-4-1,José Luis Munuera,Valencia
1276,2021-11-07,16:15,La Liga,Matchweek 13,Sun,Home,D,3,3,Atlético Madrid,0.9,1.9,48.0,37472.0,José Luis Gayà,4-1-4-1,César Soto,Valencia
1277,2021-11-21,21:00,La Liga,Matchweek 14,Sun,Away,D,0,0,Real Sociedad,0.5,0.4,38.0,28635.0,José Luis Gayà,4-2-3-1,Mario Melero,Valencia
1278,2021-11-27,16:15,La Liga,Matchweek 15,Sat,Home,D,1,1,Rayo Vallecano,1.5,1.6,42.0,30030.0,José Luis Gayà,4-4-2,Alejandro Hernández,Valencia
1280,2021-12-05,21:00,La Liga,Matchweek 16,Sun,Away,W,2,1,Celta Vigo,1.5,0.6,33.0,11361.0,José Luis Gayà,4-5-1,Ricardo de Burgos,Valencia
1281,2021-12-11,18:30,La Liga,Matchweek 17,Sat,Home,W,2,1,Elche,1.7,1.0,42.0,31662.0,Carlos Soler,4-4-2,Santiago Jaime,Valencia
1283,2021-12-20,21:00,La Liga,Matchweek 18,Mon,Away,W,4,3,Levante,1.9,2.9,48.0,18851.0,José Luis Gayà,4-4-2,Pablo González,Valencia
1284,2021-12-31,16:15,La Liga,Matchweek 19,Fri,Home,L,1,2,Espanyol,0.9,1.9,38.0,29566.0,Carlos Soler,4-4-2,José Sánchez,Valencia
1286,2022-01-08,21:00,La Liga,Matchweek 20,Sat,Away,L,1,4,Real Madrid,1.2,3.6,33.0,40617.0,José Luis Gayà,4-4-2,Alejandro Hernández,Valencia
1288,2022-01-19,21:30,La Liga,Matchweek 21,Wed,Home,D,1,1,Sevilla,0.5,1.0,33.0,26049.0,José Luis Gayà,3-5-2,César Soto,Valencia
1289,2022-01-22,21:00,La Liga,Matchweek 22,Sat,Away,L,2,3,Atlético Madrid,0.7,2.7,36.0,44999.0,Jaume Doménech,3-5-2,Isidro Díaz de Mera,Valencia
1291,2022-02-06,14:00,La Liga,Matchweek 23,Sun,Home,D,0,0,Real Sociedad,0.9,0.5,40.0,31351.0,José Luis Gayà,3-5-2,José Sánchez,Valencia
1293,2022-02-13,14:00,La Liga,Matchweek 24,Sun,Away,L,1,2,Alavés,1.3,1.7,60.0,12845.0,Carlos Soler,4-4-2,Adrián Cordero,Valencia
1294,2022-02-20,16:15,La Liga,Matchweek 25,Sun,Home,L,1,4,Barcelona,0.9,2.0,36.0,38315.0,José Luis Gayà,4-4-2,Carlos del Cerro,Valencia
1295,2022-02-26,14:00,La Liga,Matchweek 26,Sat,Away,W,1,0,Mallorca,0.5,2.0,32.0,14417.0,Carlos Soler,3-4-1-2,Jorge Figueroa,Valencia
1297,2022-03-05,18:30,La Liga,Matchweek 27,Sat,Home,W,3,1,Granada,1.5,0.4,52.0,31227.0,Jaume Doménech,4-3-3,Valentín Pizarro,Valencia
1298,2022-03-12,21:00,La Liga,Matchweek 28,Sat,Away,D,0,0,Getafe,0.2,0.7,47.0,10349.0,Carlos Soler,3-4-3,Guillermo Cuadra,Valencia
1299,2022-03-19,16:15,La Liga,Matchweek 29,Sat,Away,W,1,0,Elche,1.3,0.6,43.0,15780.0,Carlos Soler,4-1-4-1,Miguel Ángel Ortiz Arias,Valencia
1300,2022-04-03,18:30,La Liga,Matchweek 30,Sun,Home,D,0,0,Cádiz,0.2,0.1,50.0,32949.0,Carlos Soler,3-4-3,Isidro Díaz de Mera,Valencia
1301,2022-04-11,21:00,La Liga,Matchweek 31,Mon,Away,D,1,1,Rayo Vallecano,0.3,0.6,45.0,9302.0,José Luis Gayà,4-1-4-1,Ricardo de Burgos,Valencia
1302,2022-04-16,18:30,La Liga,Matchweek 32,Sat,Home,L,1,2,Osasuna,1.3,1.0,51.0,30148.0,José Luis Gayà,4-4-2,Mario Melero,Valencia
1303,2022-04-19,21:30,La Liga,Matchweek 33,Tue,Away,L,0,2,Villarreal,0.4,2.7,42.0,13570.0,Carlos Soler,3-5-1-1,José Luis Munuera,Valencia
1305,2022-04-30,18:30,La Liga,Matchweek 34,Sat,Home,D,1,1,Levante,0.7,1.5,32.0,35099.0,José Luis Gayà,3-5-2,Jorge Figueroa,Valencia
1306,2022-05-07,16:15,La Liga,Matchweek 35,Sat,Away,D,0,0,Athletic Club,0.1,1.3,41.0,41091.0,Carlos Soler,3-5-2,Isidro Díaz de Mera,Valencia
1307,2022-05-10,19:00,La Liga,Matchweek 36,Tue,Home,L,0,3,Betis,1.0,1.1,45.0,28091.0,Carlos Soler,3-5-2,Carlos del Cerro,Valencia
1308,2022-05-14,18:30,La Liga,Matchweek 37,Sat,Away,D,1,1,Espanyol,1.7,0.6,52.0,14990.0,José Luis Gayà,3-5-2,Alejandro Muñíz,Valencia
1309,2022-05-21,17:30,La Liga,Matchweek 38,Sat,Home,W,2,0,Celta Vigo,1.6,1.1,45.0,16189.0,José Luis Gayà,4-4-2,Adrián Cordero,Valencia
1310,2021-08-15,17:30,La Liga,Matchweek 1,Sun,Home,L,1,2,Atlético Madrid,2.0,1.4,52.0,5401.0,Hugo Mallo,4-4-2◆,José Luis Munuera,Celta Vigo
1311,2021-08-23,22:00,La Liga,Matchweek 2,Mon,Away,D,0,0,Osasuna,0.2,2.1,54.0,7189.0,Iago Aspas,4-4-2◆,Alberola Rojas,Celta Vigo
1312,2021-08-28,17:00,La Liga,Matchweek 3,Sat,Home,L,0,1,Athletic Club,1.0,1.2,62.0,5492.0,Hugo Mallo,4-4-2◆,Antonio Matéu Lahoz,Celta Vigo
1313,2021-09-12,21:00,La Liga,Matchweek 4,Sun,Away,L,2,5,Real Madrid,1.8,3.4,40.0,19874.0,Hugo Mallo,4-4-2◆,José Sánchez,Celta Vigo
1314,2021-09-17,21:00,La Liga,Matchweek 5,Fri,Home,L,1,2,Cádiz,1.1,1.1,78.0,6754.0,Hugo Mallo,4-4-2◆,Isidro Díaz de Mera,Celta Vigo
1315,2021-09-21,22:00,La Liga,Matchweek 6,Tue,Away,W,2,0,Levante,0.6,1.6,54.0,11989.0,Hugo Mallo,4-4-2◆,Jorge Figueroa,Celta Vigo
1316,2021-09-27,21:00,La Liga,Matchweek 7,Mon,Home,W,1,0,Granada,1.5,0.6,73.0,6375.0,Hugo Mallo,4-4-2◆,César Soto,Celta Vigo
1317,2021-10-03,14:00,La Liga,Matchweek 8,Sun,Away,L,0,1,Elche,0.5,1.5,55.0,11299.0,Hugo Mallo,4-4-2◆,José Luis Munuera,Celta Vigo
1318,2021-10-17,16:15,La Liga,Matchweek 9,Sun,Home,L,0,1,Sevilla,1.0,0.9,47.0,10774.0,Hugo Mallo,4-4-2◆,Ricardo de Burgos,Celta Vigo
1319,2021-10-25,21:00,La Liga,Matchweek 10,Mon,Away,W,3,0,Getafe,2.1,0.7,65.0,7630.0,Hugo Mallo,4-4-2◆,Juan Martínez,Celta Vigo
1320,2021-10-28,19:00,La Liga,Matchweek 11,Thu,Home,L,0,2,Real Sociedad,1.4,1.8,58.0,8726.0,Hugo Mallo,4-4-2◆,Mario Melero,Celta Vigo
1321,2021-11-01,18:30,La Liga,Matchweek 12,Mon,Away,D,0,0,Rayo Vallecano,0.4,0.6,48.0,9580.0,Brais Méndez,4-4-2◆,Adrián Cordero,Celta Vigo
1322,2021-11-06,16:15,La Liga,Matchweek 13,Sat,Home,D,3,3,Barcelona,1.7,0.8,52.0,13146.0,Hugo Mallo,4-4-2◆,Alejandro Hernández,Celta Vigo
1323,2021-11-20,14:00,La Liga,Matchweek 14,Sat,Home,D,1,1,Villarreal,1.0,2.5,57.0,10086.0,Iago Aspas,4-4-2◆,Alberola Rojas,Celta Vigo
1324,2021-11-27,14:00,La Liga,Matchweek 15,Sat,Away,W,2,1,Alavés,1.3,1.2,58.0,10093.0,Iago Aspas,4-4-2◆,Pablo González,Celta Vigo
1326,2021-12-05,21:00,La Liga,Matchweek 16,Sun,Home,L,1,2,Valencia,0.6,1.5,67.0,11361.0,Iago Aspas,4-4-2◆,Ricardo de Burgos,Celta Vigo
1327,2021-12-10,21:00,La Liga,Matchweek 17,Fri,Away,D,0,0,Mallorca,1.3,0.7,51.0,10655.0,Brais Méndez,4-4-2◆,Isidro Díaz de Mera,Celta Vigo
1329,2021-12-17,21:00,La Liga,Matchweek 18,Fri,Home,W,3,1,Espanyol,1.4,0.4,52.0,9526.0,Hugo Mallo,4-4-2◆,Valentín Pizarro,Celta Vigo
1330,2022-01-02,18:30,La Liga,Matchweek 19,Sun,Away,W,2,0,Betis,2.1,1.5,45.0,41656.0,Iago Aspas,4-4-2◆,César Soto,Celta Vigo
1332,2022-01-08,16:15,La Liga,Matchweek 20,Sat,Away,L,0,1,Real Sociedad,0.3,1.7,59.0,27938.0,Hugo Mallo,4-4-2◆,Guillermo Cuadra,Celta Vigo
1333,2022-01-19,19:00,La Liga,Matchweek 21,Wed,Home,W,2,0,Osasuna,0.9,0.5,47.0,8837.0,Hugo Mallo,4-4-2◆,Adrián Cordero,Celta Vigo
1334,2022-01-22,18:30,La Liga,Matchweek 22,Sat,Away,D,2,2,Sevilla,0.7,1.2,35.0,30059.0,Hugo Mallo,4-4-2◆,José Sánchez,Celta Vigo
1335,2022-02-05,18:30,La Liga,Matchweek 23,Sat,Home,W,2,0,Rayo Vallecano,0.7,0.9,51.0,12546.0,Hugo Mallo,4-4-2◆,José Luis Munuera,Celta Vigo
1336,2022-02-12,14:00,La Liga,Matchweek 24,Sat,Away,D,0,0,Cádiz,1.0,0.7,56.0,15635.0,Hugo Mallo,4-4-2◆,Antonio Matéu Lahoz,Celta Vigo
1337,2022-02-21,21:00,La Liga,Matchweek 25,Mon,Home,D,1,1,Levante,1.4,1.7,63.0,9776.0,Hugo Mallo,4-4-2◆,Valentín Pizarro,Celta Vigo
1338,2022-02-26,21:00,La Liga,Matchweek 26,Sat,Away,L,0,2,Atlético Madrid,0.9,0.7,64.0,48009.0,Hugo Mallo,4-4-2◆,Alejandro Hernández,Celta Vigo
1339,2022-03-06,18:30,La Liga,Matchweek 27,Sun,Home,W,4,3,Mallorca,2.0,1.7,58.0,11320.0,Hugo Mallo,4-4-2◆,Miguel Ángel Ortiz Arias,Celta Vigo
1340,2022-03-12,18:30,La Liga,Matchweek 28,Sat,Away,L,0,1,Villarreal,0.8,1.1,50.0,14929.0,Iago Aspas,4-4-2◆,Santiago Jaime,Celta Vigo
1341,2022-03-20,16:15,La Liga,Matchweek 29,Sun,Home,D,0,0,Betis,0.8,1.1,52.0,13149.0,Hugo Mallo,4-4-2◆,Ricardo de Burgos,Celta Vigo
1342,2022-04-02,18:30,La Liga,Matchweek 30,Sat,Home,L,1,2,Real Madrid,1.5,3.0,55.0,15714.0,Iago Aspas,4-4-2◆,Pablo González,Celta Vigo
