,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
4409,2018-04-08,20:45,La Liga,Matchweek 31,Sun,Away,L,0,1,Valencia,0.0,20.0,7.0,35.0,0.0,0.0,18.6,3.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1,Espanyol
4410,2018-04-15,18:30,La Liga,Matchweek 32,Sun,Away,L,0,1,Getafe,0.0,7.0,1.0,14.3,0.0,0.0,16.8,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7,Espanyol
4411,2018-04-18,19:30,La Liga,Matchweek 33,Wed,Home,L,0,1,Eibar,0.0,9.0,4.0,44.4,0.0,0.0,16.7,1.0,0.0,0.0,1.0,1.0,0.12,-1.0,-1.0,Espanyol
4412,2018-04-22,12:00,La Liga,Matchweek 34,Sun,Away,W,2,0,Girona,2.0,5.0,4.0,80.0,0.4,0.5,16.5,0.0,0.0,0.0,0.8,0.8,0.16,1.2,1.2,Espanyol
4413,2018-04-28,13:00,La Liga,Matchweek 35,Sat,Home,D,1,1,Las Palmas,1.0,16.0,7.0,43.8,0.06,0.14,14.0,0.0,0.0,0.0,1.5,1.5,0.1,-0.5,-0.5,Espanyol
4414,2018-05-06,16:15,La Liga,Matchweek 36,Sun,Away,W,2,0,Atlético Madrid,2.0,14.0,5.0,35.7,0.14,0.4,19.8,0.0,0.0,0.0,1.0,1.0,0.07,1.0,1.0,Espanyol
4415,2018-05-13,16:15,La Liga,Matchweek 37,Sun,Home,W,4,1,Málaga,4.0,19.0,5.0,26.3,0.16,0.6,14.5,0.0,1.0,1.0,4.0,3.2,0.2,0.0,-0.2,Espanyol
4416,2018-05-20,16:15,La Liga,Matchweek 38,Sun,Away,W,1,0,Athletic Club,1.0,12.0,4.0,33.3,0.08,0.25,18.3,0.0,0.0,0.0,1.3,1.3,0.11,-0.3,-0.3,Espanyol
4417,2017-08-21,22:00,La Liga,Matchweek 1,Mon,Away,W,1,0,Málaga,1.0,13.0,6.0,46.2,0.08,0.17,20.7,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,Eibar
4418,2017-08-27,18:15,La Liga,Matchweek 2,Sun,Home,L,0,1,Athletic Club,0.0,15.0,5.0,33.3,0.0,0.0,19.2,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1,Eibar
4419,2017-09-09,18:30,La Liga,Matchweek 3,Sat,Away,L,0,3,Sevilla,0.0,7.0,1.0,14.3,0.0,0.0,12.8,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,Eibar
4420,2017-09-15,21:00,La Liga,Matchweek 4,Fri,Home,W,1,0,Leganés,1.0,10.0,4.0,40.0,0.1,0.25,20.9,2.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,Eibar
4421,2017-09-19,22:00,La Liga,Matchweek 5,Tue,Away,L,1,6,Barcelona,1.0,13.0,4.0,30.8,0.08,0.25,17.0,1.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,Eibar
4422,2017-09-24,18:30,La Liga,Matchweek 6,Sun,Home,L,0,4,Celta Vigo,0.0,9.0,0.0,0.0,0.0,,15.0,0.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,Eibar
4423,2017-10-01,18:30,La Liga,Matchweek 7,Sun,Away,L,0,3,Villarreal,0.0,6.0,0.0,0.0,0.0,,19.5,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,Eibar
4424,2017-10-15,12:00,La Liga,Matchweek 8,Sun,Home,D,0,0,La Coruña,0.0,12.0,4.0,33.3,0.0,0.0,18.6,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,Eibar
4425,2017-10-22,20:45,La Liga,Matchweek 9,Sun,Away,L,0,3,Real Madrid,0.0,9.0,2.0,22.2,0.0,0.0,25.3,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Eibar
4427,2017-10-29,18:30,La Liga,Matchweek 10,Sun,Home,D,2,2,Levante,2.0,16.0,6.0,37.5,0.13,0.33,16.1,1.0,0.0,0.0,1.0,1.0,0.06,1.0,1.0,Eibar
4428,2017-11-05,18:30,La Liga,Matchweek 11,Sun,Away,L,1,3,Real Sociedad,1.0,9.0,5.0,55.6,0.11,0.2,19.0,0.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,Eibar
4429,2017-11-20,21:00,La Liga,Matchweek 12,Mon,Home,W,5,0,Betis,4.0,16.0,7.0,43.8,0.19,0.43,21.1,0.0,1.0,1.0,2.2,1.4,0.09,1.8,1.6,Eibar
4430,2017-11-25,13:00,La Liga,Matchweek 13,Sat,Away,W,2,1,Alavés,2.0,12.0,6.0,50.0,0.17,0.33,18.7,1.0,0.0,0.0,0.7,0.7,0.06,1.3,1.3,Eibar
4432,2017-12-03,18:30,La Liga,Matchweek 14,Sun,Home,W,3,1,Espanyol,3.0,10.0,4.0,40.0,0.2,0.5,22.0,2.0,1.0,1.0,1.8,1.0,0.11,1.2,1.0,Eibar
4433,2017-12-09,13:00,La Liga,Matchweek 15,Sat,Away,D,0,0,Getafe,0.0,6.0,1.0,16.7,0.0,0.0,25.7,0.0,0.0,1.0,0.9,0.2,0.03,-0.9,-0.2,Eibar
4434,2017-12-16,18:30,La Liga,Matchweek 16,Sat,Home,W,2,1,Valencia,2.0,14.0,3.0,21.4,0.14,0.67,16.6,1.0,0.0,0.0,0.9,0.9,0.06,1.1,1.1,Eibar
4435,2017-12-21,19:30,La Liga,Matchweek 17,Thu,Home,W,4,1,Girona,4.0,16.0,6.0,37.5,0.25,0.67,16.1,1.0,0.0,0.0,2.0,2.0,0.13,2.0,2.0,Eibar
4436,2018-01-06,17:30,La Liga,Matchweek 18,Sat,Away,W,2,1,Las Palmas,2.0,13.0,4.0,30.8,0.15,0.5,12.5,1.0,0.0,0.0,1.1,1.1,0.09,0.9,0.9,Eibar
4437,2018-01-13,18:30,La Liga,Matchweek 19,Sat,Home,L,0,1,Atlético Madrid,0.0,11.0,3.0,27.3,0.0,0.0,14.1,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,Eibar
4438,2018-01-22,21:00,La Liga,Matchweek 20,Mon,Home,D,1,1,Málaga,1.0,15.0,4.0,26.7,0.07,0.25,17.0,0.0,0.0,0.0,1.7,1.7,0.12,-0.7,-0.7,Eibar
4439,2018-01-26,21:00,La Liga,Matchweek 21,Fri,Away,D,1,1,Athletic Club,1.0,15.0,2.0,13.3,0.07,0.5,18.8,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Eibar
4440,2018-02-03,13:00,La Liga,Matchweek 22,Sat,Home,W,5,1,Sevilla,5.0,18.0,7.0,38.9,0.28,0.71,16.2,3.0,0.0,0.0,1.7,1.7,0.1,3.3,3.3,Eibar
4441,2018-02-10,18:30,La Liga,Matchweek 23,Sat,Away,W,1,0,Leganés,1.0,20.0,7.0,35.0,0.05,0.14,14.3,0.0,0.0,0.0,1.0,1.0,0.05,0.0,0.0,Eibar
4442,2018-02-17,16:15,La Liga,Matchweek 24,Sat,Home,L,0,2,Barcelona,0.0,13.0,3.0,23.1,0.0,0.0,18.1,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,Eibar
4443,2018-02-24,13:00,La Liga,Matchweek 25,Sat,Away,L,0,2,Celta Vigo,0.0,15.0,2.0,13.3,0.0,0.0,15.2,0.0,0.0,0.0,1.3,1.3,0.09,-1.3,-1.3,Eibar
4444,2018-02-28,21:30,La Liga,Matchweek 26,Wed,Home,W,1,0,Villarreal,1.0,15.0,3.0,20.0,0.07,0.33,17.2,1.0,0.0,0.0,1.4,1.4,0.09,-0.4,-0.4,Eibar
4445,2018-03-03,18:30,La Liga,Matchweek 27,Sat,Away,D,1,1,La Coruña,1.0,16.0,3.0,18.8,0.06,0.33,21.4,1.0,0.0,0.0,0.9,0.9,0.05,0.1,0.1,Eibar
4446,2018-03-10,13:00,La Liga,Matchweek 28,Sat,Home,L,1,2,Real Madrid,1.0,13.0,3.0,23.1,0.08,0.33,15.3,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,Eibar
4447,2018-03-16,21:00,La Liga,Matchweek 29,Fri,Away,L,1,2,Levante,1.0,14.0,4.0,28.6,0.07,0.25,15.2,0.0,0.0,0.0,1.6,1.6,0.11,-0.6,-0.6,Eibar
4448,2018-04-01,18:30,La Liga,Matchweek 30,Sun,Home,D,0,0,Real Sociedad,0.0,14.0,3.0,21.4,0.0,0.0,15.5,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,Eibar
4449,2018-04-07,18:30,La Liga,Matchweek 31,Sat,Away,L,0,2,Betis,0.0,6.0,2.0,33.3,0.0,0.0,16.3,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5,Eibar
4450,2018-04-15,12:00,La Liga,Matchweek 32,Sun,Home,L,0,1,Alavés,0.0,20.0,4.0,20.0,0.0,0.0,18.5,2.0,0.0,0.0,1.3,1.3,0.06,-1.3,-1.3,Eibar
4451,2018-04-18,19:30,La Liga,Matchweek 33,Wed,Away,W,1,0,Espanyol,1.0,5.0,1.0,20.0,0.2,1.0,16.9,0.0,0.0,0.0,0.3,0.3,0.05,0.7,0.7,Eibar
4452,2018-04-21,13:00,La Liga,Matchweek 34,Sat,Home,L,0,1,Getafe,0.0,15.0,2.0,13.3,0.0,0.0,15.1,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,Eibar
4453,2018-04-29,18:30,La Liga,Matchweek 35,Sun,Away,D,0,0,Valencia,0.0,9.0,3.0,33.3,0.0,0.0,16.7,1.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,Eibar
4454,2018-05-05,13:00,La Liga,Matchweek 36,Sat,Away,W,4,1,Girona,4.0,15.0,6.0,40.0,0.27,0.67,21.2,3.0,0.0,0.0,1.7,1.7,0.11,2.3,2.3,Eibar
4455,2018-05-12,18:30,La Liga,Matchweek 37,Sat,Home,W,1,0,Las Palmas,1.0,9.0,4.0,44.4,0.11,0.25,21.1,0.0,0.0,0.0,1.2,1.2,0.13,-0.2,-0.2,Eibar
4456,2018-05-20,18:30,La Liga,Matchweek 38,Sun,Away,D,2,2,Atlético Madrid,2.0,15.0,4.0,26.7,0.13,0.5,18.7,0.0,0.0,0.0,1.0,1.0,0.07,1.0,1.0,Eibar
4457,2017-08-19,18:15,La Liga,Matchweek 1,Sat,Away,W,3,2,Celta Vigo,3.0,13.0,5.0,38.5,0.15,0.4,17.5,1.0,1.0,1.0,2.4,1.6,0.12,0.6,0.4,Real Sociedad
4458,2017-08-25,20:15,La Liga,Matchweek 2,Fri,Home,W,3,0,Villarreal,3.0,15.0,9.0,60.0,0.2,0.33,13.2,0.0,0.0,0.0,2.7,2.7,0.19,0.3,0.3,Real Sociedad
4459,2017-09-10,12:00,La Liga,Matchweek 3,Sun,Away,W,4,2,La Coruña,4.0,15.0,4.0,26.7,0.27,1.0,15.4,0.0,0.0,0.0,1.6,1.6,0.11,2.4,2.4,Real Sociedad
4461,2017-09-17,20:45,La Liga,Matchweek 4,Sun,Home,L,1,3,Real Madrid,1.0,10.0,5.0,50.0,0.1,0.2,17.1,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,Real Sociedad
4462,2017-09-21,22:00,La Liga,Matchweek 5,Thu,Away,L,0,3,Levante,0.0,14.0,3.0,21.4,0.0,0.0,17.5,1.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,Real Sociedad
4463,2017-09-24,20:45,La Liga,Matchweek 6,Sun,Home,L,2,3,Valencia,2.0,16.0,6.0,37.5,0.13,0.33,21.7,2.0,0.0,0.0,0.9,0.9,0.06,1.1,1.1,Real Sociedad
4465,2017-10-01,12:00,La Liga,Matchweek 7,Sun,Home,D,4,4,Betis,4.0,18.0,6.0,33.3,0.22,0.67,16.8,0.0,0.0,0.0,1.8,1.8,0.1,2.2,2.2,Real Sociedad
4466,2017-10-14,18:30,La Liga,Matchweek 8,Sat,Away,W,2,0,Alavés,2.0,14.0,6.0,42.9,0.14,0.33,22.3,1.0,0.0,0.0,0.7,0.7,0.05,1.3,1.3,Real Sociedad
4468,2017-10-23,20:00,La Liga,Matchweek 9,Mon,Home,D,1,1,Espanyol,1.0,19.0,5.0,26.3,0.05,0.2,18.4,1.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,Real Sociedad
4470,2017-10-29,12:00,La Liga,Matchweek 10,Sun,Away,L,1,2,Getafe,1.0,15.0,4.0,26.7,0.07,0.25,18.1,1.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,Real Sociedad
4472,2017-11-05,18:30,La Liga,Matchweek 11,Sun,Home,W,3,1,Eibar,3.0,9.0,6.0,66.7,0.33,0.5,11.6,1.0,0.0,0.0,2.1,2.1,0.29,0.9,0.9,Real Sociedad
4473,2017-11-17,21:00,La Liga,Matchweek 12,Fri,Away,D,1,1,Girona,1.0,14.0,5.0,35.7,0.07,0.2,18.4,1.0,0.0,0.0,1.3,1.3,0.1,-0.3,-0.3,Real Sociedad
4475,2017-11-26,16:15,La Liga,Matchweek 13,Sun,Home,D,2,2,Las Palmas,2.0,16.0,3.0,18.8,0.13,0.67,14.4,1.0,0.0,0.0,1.9,1.9,0.12,0.1,0.1,Real Sociedad
4477,2017-12-02,16:15,La Liga,Matchweek 14,Sat,Away,L,1,2,Atlético Madrid,1.0,10.0,1.0,10.0,0.0,0.0,15.7,0.0,1.0,1.0,1.7,0.9,0.1,-0.7,-0.9,Real Sociedad
4479,2017-12-10,12:00,La Liga,Matchweek 15,Sun,Home,L,0,2,Málaga,0.0,16.0,2.0,12.5,0.0,0.0,15.7,0.0,0.0,0.0,1.6,1.6,0.1,-1.6,-1.6,Real Sociedad
4480,2017-12-16,16:15,La Liga,Matchweek 16,Sat,Away,D,0,0,Athletic Club,0.0,10.0,2.0,20.0,0.0,0.0,22.2,1.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,Real Sociedad
4481,2017-12-20,21:30,La Liga,Matchweek 17,Wed,Home,W,3,1,Sevilla,3.0,14.0,5.0,35.7,0.21,0.6,17.3,0.0,0.0,0.0,1.4,1.4,0.1,1.6,1.6,Real Sociedad
4482,2018-01-07,12:00,La Liga,Matchweek 18,Sun,Away,L,0,1,Leganés,0.0,9.0,5.0,55.6,0.0,0.0,22.4,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6,Real Sociedad
4483,2018-01-14,20:45,La Liga,Matchweek 19,Sun,Home,L,2,4,Barcelona,2.0,13.0,6.0,46.2,0.15,0.33,17.6,0.0,0.0,0.0,0.8,0.8,0.06,1.2,1.2,Real Sociedad
4484,2018-01-21,18:30,La Liga,Matchweek 20,Sun,Home,L,1,2,Celta Vigo,1.0,18.0,2.0,11.1,0.06,0.5,20.0,1.0,0.0,1.0,1.8,1.0,0.06,-0.8,0.0,Real Sociedad
4485,2018-01-27,20:45,La Liga,Matchweek 21,Sat,Away,L,2,4,Villarreal,2.0,23.0,6.0,26.1,0.09,0.33,16.8,0.0,0.0,0.0,1.2,1.2,0.05,0.8,0.8,Real Sociedad
4486,2018-02-02,21:00,La Liga,Matchweek 22,Fri,Home,W,5,0,La Coruña,5.0,19.0,8.0,42.1,0.26,0.63,15.3,1.0,0.0,0.0,2.9,2.9,0.17,2.1,2.1,Real Sociedad
4487,2018-02-10,20:45,La Liga,Matchweek 23,Sat,Away,L,2,5,Real Madrid,2.0,9.0,4.0,44.4,0.22,0.5,14.1,1.0,0.0,0.0,1.0,1.0,0.11,1.0,1.0,Real Sociedad
4489,2018-02-18,12:00,La Liga,Matchweek 24,Sun,Home,W,3,0,Levante,3.0,11.0,2.0,18.2,0.18,1.0,18.8,0.0,1.0,1.0,1.5,0.8,0.07,1.5,1.2,Real Sociedad
4491,2018-02-25,18:30,La Liga,Matchweek 25,Sun,Away,L,1,2,Valencia,1.0,10.0,3.0,30.0,0.1,0.33,16.5,1.0,0.0,0.0,1.2,1.2,0.12,-0.2,-0.2,Real Sociedad
4492,2018-03-01,19:30,La Liga,Matchweek 26,Thu,Away,D,0,0,Betis,0.0,16.0,5.0,31.3,0.0,0.0,19.4,0.0,0.0,0.0,1.2,1.2,0.08,-1.2,-1.2,Real Sociedad
4493,2018-03-04,18:30,La Liga,Matchweek 27,Sun,Home,W,2,1,Alavés,2.0,14.0,5.0,35.7,0.14,0.4,13.6,0.0,0.0,0.0,2.0,2.0,0.15,0.0,0.0,Real Sociedad
4494,2018-03-11,12:00,La Liga,Matchweek 28,Sun,Away,L,1,2,Espanyol,1.0,11.0,5.0,45.5,0.09,0.2,17.2,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,Real Sociedad
4495,2018-03-17,18:30,La Liga,Matchweek 29,Sat,Home,L,1,2,Getafe,1.0,10.0,2.0,20.0,0.1,0.5,17.8,2.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,Real Sociedad
4496,2018-04-01,18:30,La Liga,Matchweek 30,Sun,Away,D,0,0,Eibar,0.0,7.0,0.0,0.0,0.0,,18.7,0.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,Real Sociedad
4497,2018-04-08,18:30,La Liga,Matchweek 31,Sun,Home,W,5,0,Girona,5.0,13.0,6.0,46.2,0.38,0.83,14.5,0.0,0.0,0.0,2.4,2.4,0.19,2.6,2.6,Real Sociedad
4498,2018-04-14,17:30,La Liga,Matchweek 32,Sat,Away,W,1,0,Las Palmas,1.0,21.0,11.0,52.4,0.05,0.09,14.8,0.0,0.0,0.0,2.7,2.7,0.13,-1.7,-1.7,Real Sociedad
4499,2018-04-19,19:30,La Liga,Matchweek 33,Thu,Home,W,3,0,Atlético Madrid,3.0,13.0,5.0,38.5,0.23,0.6,23.5,0.0,0.0,0.0,1.2,1.2,0.09,1.8,1.8,Real Sociedad
4500,2018-04-22,16:15,La Liga,Matchweek 34,Sun,Away,L,0,2,Málaga,0.0,14.0,2.0,14.3,0.0,0.0,15.5,0.0,0.0,0.0,1.3,1.3,0.09,-1.3,-1.3,Real Sociedad
4501,2018-04-28,16:15,La Liga,Matchweek 35,Sat,Home,W,3,1,Athletic Club,1.0,16.0,5.0,31.3,0.06,0.2,17.8,1.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Real Sociedad
4502,2018-05-04,21:00,La Liga,Matchweek 36,Fri,Away,L,0,1,Sevilla,0.0,11.0,1.0,9.1,0.0,0.0,22.8,2.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,Real Sociedad
4503,2018-05-12,16:15,La Liga,Matchweek 37,Sat,Home,W,3,2,Leganés,3.0,11.0,6.0,54.5,0.18,0.33,16.8,0.0,1.0,1.0,2.3,1.6,0.15,0.7,0.4,Real Sociedad
4504,2018-05-20,20:45,La Liga,Matchweek 38,Sun,Away,L,0,1,Barcelona,0.0,13.0,2.0,15.4,0.0,0.0,21.1,1.0,0.0,0.0,0.7,0.7,0.06,-0.7,-0.7,Real Sociedad
4505,2017-08-18,20:15,La Liga,Matchweek 1,Fri,Away,L,0,1,Leganés,0.0,8.0,3.0,37.5,0.0,0.0,21.7,0.0,0.0,1.0,1.2,0.4,0.05,-1.2,-0.4,Alaves
4506,2017-08-26,18:15,La Liga,Matchweek 2,Sat,Home,L,0,2,Barcelona,0.0,11.0,2.0,18.2,0.0,0.0,20.9,2.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8,Alaves
4507,2017-09-10,18:30,La Liga,Matchweek 3,Sun,Away,L,0,1,Celta Vigo,0.0,5.0,3.0,60.0,0.0,0.0,14.6,0.0,0.0,0.0,0.6,0.6,0.13,-0.6,-0.6,Alaves
4508,2017-09-17,12:00,La Liga,Matchweek 4,Sun,Home,L,0,3,Villarreal,0.0,16.0,2.0,12.5,0.0,0.0,24.1,1.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,Alaves
4509,2017-09-20,21:00,La Liga,Matchweek 5,Wed,Away,L,0,1,La Coruña,0.0,8.0,3.0,37.5,0.0,0.0,19.8,0.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,Alaves
4510,2017-09-23,16:15,La Liga,Matchweek 6,Sat,Home,L,1,2,Real Madrid,1.0,8.0,3.0,37.5,0.13,0.33,18.5,1.0,0.0,0.0,0.7,0.7,0.09,0.3,0.3,Alaves
4511,2017-09-30,18:30,La Liga,Matchweek 7,Sat,Away,W,2,0,Levante,2.0,8.0,3.0,37.5,0.25,0.67,12.3,1.0,0.0,0.0,2.3,2.3,0.29,-0.3,-0.3,Alaves
4512,2017-10-14,18:30,La Liga,Matchweek 8,Sat,Home,L,0,2,Real Sociedad,0.0,8.0,0.0,0.0,0.0,,19.7,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,Alaves
4513,2017-10-21,16:15,La Liga,Matchweek 9,Sat,Away,L,0,2,Betis,0.0,7.0,3.0,42.9,0.0,0.0,18.8,1.0,0.0,0.0,0.7,0.7,0.1,-0.7,-0.7,Alaves
4515,2017-10-28,13:00,La Liga,Matchweek 10,Sat,Home,L,1,2,Valencia,1.0,18.0,7.0,38.9,0.06,0.14,21.1,2.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,Alaves
4516,2017-11-04,18:30,La Liga,Matchweek 11,Sat,Home,W,1,0,Espanyol,1.0,17.0,5.0,29.4,0.06,0.2,22.8,1.0,0.0,0.0,1.2,1.2,0.07,-0.2,-0.2,Alaves
4517,2017-11-18,13:00,La Liga,Matchweek 12,Sat,Away,L,1,4,Getafe,1.0,10.0,6.0,60.0,0.1,0.17,16.7,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,Alaves
4518,2017-11-25,13:00,La Liga,Matchweek 13,Sat,Home,L,1,2,Eibar,1.0,6.0,2.0,33.3,0.17,0.5,20.0,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6,Alaves
4520,2017-12-04,21:00,La Liga,Matchweek 14,Mon,Away,W,3,2,Girona,3.0,8.0,3.0,37.5,0.25,0.67,25.5,0.0,1.0,1.0,1.7,0.9,0.12,1.3,1.1,Alaves
4521,2017-12-08,21:00,La Liga,Matchweek 15,Fri,Home,W,2,0,Las Palmas,2.0,23.0,9.0,39.1,0.09,0.22,13.7,0.0,0.0,0.0,3.4,3.4,0.15,-1.4,-1.4,Alaves
4522,2017-12-16,20:45,La Liga,Matchweek 16,Sat,Away,L,0,1,Atlético Madrid,0.0,11.0,0.0,0.0,0.0,,19.3,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,Alaves
4523,2017-12-21,21:30,La Liga,Matchweek 17,Thu,Home,W,1,0,Málaga,1.0,13.0,5.0,38.5,0.08,0.2,17.9,1.0,0.0,0.0,1.7,1.7,0.13,-0.7,-0.7,Alaves
4525,2018-01-07,18:30,La Liga,Matchweek 18,Sun,Away,L,0,2,Athletic Club,0.0,8.0,1.0,12.5,0.0,0.0,27.9,1.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Alaves
4527,2018-01-14,16:15,La Liga,Matchweek 19,Sun,Home,W,1,0,Sevilla,1.0,11.0,4.0,36.4,0.09,0.25,20.2,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,Alaves
4529,2018-01-21,12:00,La Liga,Matchweek 20,Sun,Home,D,2,2,Leganés,2.0,14.0,6.0,42.9,0.14,0.33,17.1,1.0,0.0,0.0,2.5,2.5,0.19,-0.5,-0.5,Alaves
4531,2018-01-28,20:45,La Liga,Matchweek 21,Sun,Away,L,1,2,Barcelona,1.0,7.0,4.0,57.1,0.14,0.25,18.3,0.0,0.0,0.0,0.6,0.6,0.09,0.4,0.4,Alaves
4532,2018-02-03,18:30,La Liga,Matchweek 22,Sat,Home,W,2,1,Celta Vigo,2.0,9.0,3.0,33.3,0.22,0.67,13.2,0.0,0.0,0.0,0.7,0.7,0.08,1.3,1.3,Alaves
4533,2018-02-10,13:00,La Liga,Matchweek 23,Sat,Away,W,2,1,Villarreal,2.0,7.0,4.0,57.1,0.29,0.5,12.5,0.0,0.0,0.0,0.9,0.9,0.13,1.1,1.1,Alaves
4534,2018-02-17,18:30,La Liga,Matchweek 24,Sat,Home,W,1,0,La Coruña,1.0,15.0,3.0,20.0,0.07,0.33,16.6,1.0,0.0,0.0,1.1,1.1,0.07,-0.1,-0.1,Alaves
4535,2018-02-24,16:15,La Liga,Matchweek 25,Sat,Away,L,0,4,Real Madrid,0.0,12.0,5.0,41.7,0.0,0.0,17.8,1.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,Alaves
4536,2018-03-01,21:30,La Liga,Matchweek 26,Thu,Home,W,1,0,Levante,1.0,14.0,5.0,35.7,0.07,0.2,16.6,0.0,0.0,1.0,2.5,1.7,0.12,-1.5,-0.7,Alaves
4537,2018-03-04,18:30,La Liga,Matchweek 27,Sun,Away,L,1,2,Real Sociedad,1.0,4.0,1.0,25.0,0.25,1.0,12.2,0.0,0.0,0.0,0.3,0.3,0.08,0.7,0.7,Alaves
4538,2018-03-12,21:00,La Liga,Matchweek 28,Mon,Home,L,1,3,Betis,1.0,11.0,1.0,9.1,0.09,1.0,12.2,1.0,0.0,0.0,1.1,1.1,0.1,-0.1,-0.1,Alaves
4539,2018-03-17,16:15,La Liga,Matchweek 29,Sat,Away,L,1,3,Valencia,1.0,17.0,5.0,29.4,0.06,0.2,21.0,1.0,0.0,0.0,1.2,1.2,0.07,-0.2,-0.2,Alaves
4540,2018-04-01,12:00,La Liga,Matchweek 30,Sun,Away,D,0,0,Espanyol,0.0,14.0,4.0,28.6,0.0,0.0,19.8,2.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,Alaves
4541,2018-04-07,13:00,La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,2.0,11.0,2.0,18.2,0.18,1.0,18.7,0.0,0.0,0.0,1.0,1.0,0.09,1.0,1.0,Alaves
4542,2018-04-15,12:00,La Liga,Matchweek 32,Sun,Away,W,1,0,Eibar,1.0,2.0,1.0,50.0,0.5,1.0,23.8,1.0,0.0,0.0,0.1,0.1,0.07,0.9,0.9,Alaves
4543,2018-04-19,19:30,La Liga,Matchweek 33,Thu,Home,L,1,2,Girona,1.0,12.0,6.0,50.0,0.08,0.17,14.0,0.0,0.0,0.0,1.2,1.2,0.1,-0.2,-0.2,Alaves
4544,2018-04-22,17:30,La Liga,Matchweek 34,Sun,Away,W,4,0,Las Palmas,4.0,10.0,7.0,70.0,0.4,0.57,15.7,0.0,0.0,0.0,1.1,1.1,0.11,2.9,2.9,Alaves
4545,2018-04-29,16:15,La Liga,Matchweek 35,Sun,Home,L,0,1,Atlético Madrid,0.0,7.0,3.0,42.9,0.0,0.0,15.4,1.0,0.0,0.0,0.9,0.9,0.12,-0.9,-0.9,Alaves
4546,2018-05-06,12:00,La Liga,Matchweek 36,Sun,Away,W,3,0,Málaga,3.0,13.0,7.0,53.8,0.23,0.43,15.6,0.0,0.0,0.0,1.0,1.0,0.08,2.0,2.0,Alaves
4547,2018-05-12,18:30,La Liga,Matchweek 37,Sat,Home,W,3,1,Athletic Club,3.0,4.0,3.0,75.0,0.75,1.0,16.2,1.0,0.0,0.0,1.1,1.1,0.26,1.9,1.9,Alaves
4548,2018-05-19,18:30,La Liga,Matchweek 38,Sat,Away,L,0,1,Sevilla,0.0,11.0,4.0,36.4,0.0,0.0,21.3,1.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,Alaves
