,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
46,2022-08-29,22:00,La Liga,Matchweek 3,Mon,Away,W,1,0,Valencia,1.0,13.0,7.0,53.8,0.08,0.14,14.8,0.0,0.0,0.0,1.7,1.7,0.13,-0.7,-0.7,Atletico Madrid
47,2022-09-03,18:30,La Liga,Matchweek 4,Sat,Away,D,1,1,Real Sociedad,1.0,16.0,8.0,50.0,0.06,0.13,16.9,1.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,Atletico Madrid
49,2022-09-10,21:00,La Liga,Matchweek 5,Sat,Home,W,4,1,Celta Vigo,3.0,10.0,4.0,40.0,0.3,0.75,15.3,0.0,0.0,0.0,0.8,0.8,0.08,2.2,2.2,Atletico Madrid
51,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Home,L,1,2,Real Madrid,1.0,12.0,4.0,33.3,0.08,0.25,17.9,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Atletico Madrid
52,2022-10-01,18:30,La Liga,Matchweek 7,Sat,Away,W,2,0,Sevilla,2.0,20.0,6.0,30.0,0.1,0.33,17.1,0.0,0.0,0.0,2.3,2.3,0.12,-0.3,-0.3,Atletico Madrid
54,2022-10-08,16:15,La Liga,Matchweek 8,Sat,Home,W,2,1,Girona,2.0,13.0,6.0,46.2,0.15,0.33,12.7,0.0,0.0,0.0,1.5,1.5,0.12,0.5,0.5,Atletico Madrid
56,2022-08-14,19:30,La Liga,Matchweek 1,Sun,Home,W,1,0,Girona,1.0,16.0,1.0,6.3,0.0,0.0,20.3,3.0,1.0,1.0,1.7,1.0,0.06,-0.7,-1.0,Valencia
57,2022-08-21,17:30,La Liga,Matchweek 2,Sun,Away,L,0,1,Athletic Club,0.0,10.0,0.0,0.0,0.0,,16.2,0.0,0.0,0.0,0.9,0.9,0.09,-0.9,-0.9,Valencia
58,2022-08-29,22:00,La Liga,Matchweek 3,Mon,Home,L,0,1,Atlético Madrid,0.0,12.0,2.0,16.7,0.0,0.0,18.1,3.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Valencia
59,2022-09-04,21:00,La Liga,Matchweek 4,Sun,Home,W,5,1,Getafe,5.0,24.0,9.0,37.5,0.21,0.56,16.4,0.0,0.0,0.0,1.9,1.9,0.08,3.1,3.1,Valencia
60,2022-09-10,14:00,La Liga,Matchweek 5,Sat,Away,L,1,2,Rayo Vallecano,1.0,17.0,4.0,23.5,0.06,0.25,15.1,1.0,0.0,0.0,1.4,1.4,0.09,-0.4,-0.4,Valencia
61,2022-09-17,18:30,La Liga,Matchweek 6,Sat,Home,W,3,0,Celta Vigo,3.0,14.0,7.0,50.0,0.21,0.43,14.9,0.0,0.0,0.0,1.8,1.8,0.13,1.2,1.2,Valencia
62,2022-10-02,14:00,La Liga,Matchweek 7,Sun,Away,D,2,2,Espanyol,2.0,12.0,5.0,41.7,0.17,0.4,15.4,1.0,0.0,0.0,0.9,0.9,0.08,1.1,1.1,Valencia
63,2022-10-07,21:00,La Liga,Matchweek 8,Fri,Away,W,2,1,Osasuna,2.0,15.0,7.0,46.7,0.13,0.29,19.8,0.0,0.0,1.0,2.2,1.5,0.1,-0.2,0.5,Valencia
65,2022-08-14,22:00,La Liga,Matchweek 1,Sun,Away,W,2,1,Almería,2.0,29.0,15.0,51.7,0.07,0.13,17.9,1.0,0.0,0.0,2.4,2.4,0.09,-0.4,-0.4,Real Madrid
66,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Away,W,4,1,Celta Vigo,4.0,15.0,6.0,40.0,0.2,0.5,18.7,0.0,1.0,2.0,3.4,1.9,0.13,0.6,1.1,Real Madrid
67,2022-08-28,22:00,La Liga,Matchweek 3,Sun,Away,W,3,1,Espanyol,3.0,19.0,6.0,31.6,0.16,0.5,15.6,1.0,0.0,0.0,1.6,1.6,0.08,1.4,1.4,Real Madrid
68,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Home,W,2,1,Betis,2.0,22.0,5.0,22.7,0.09,0.4,17.2,2.0,0.0,0.0,2.6,2.6,0.12,-0.6,-0.6,Real Madrid
70,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Home,W,4,1,Mallorca,4.0,22.0,7.0,31.8,0.18,0.57,21.5,2.0,0.0,0.0,1.6,1.6,0.07,2.4,2.4,Real Madrid
72,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Away,W,2,1,Atlético Madrid,2.0,6.0,3.0,50.0,0.33,0.67,17.2,0.0,0.0,0.0,0.9,0.9,0.16,1.1,1.1,Real Madrid
73,2022-10-02,21:00,La Liga,Matchweek 7,Sun,Home,D,1,1,Osasuna,1.0,22.0,4.0,18.2,0.05,0.25,19.4,1.0,0.0,1.0,2.6,1.9,0.09,-1.6,-0.9,Real Madrid
75,2022-10-08,21:00,La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,1.0,19.0,4.0,21.1,0.05,0.25,22.6,0.0,0.0,0.0,1.2,1.2,0.07,-0.2,-0.2,Real Madrid
77,2022-08-12,21:00,La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,2.0,11.0,4.0,36.4,0.09,0.25,23.7,0.0,1.0,1.0,1.3,0.6,0.05,0.7,0.4,Osasuna
78,2022-08-20,17:30,La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,2.0,14.0,1.0,7.1,0.0,0.0,18.3,0.0,2.0,2.0,2.6,1.0,0.07,-0.6,-1.0,Osasuna
79,2022-08-26,22:00,La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,0.0,12.0,2.0,16.7,0.0,0.0,16.7,0.0,0.0,0.0,1.0,1.0,0.08,-1.0,-1.0,Osasuna
80,2022-09-04,14:00,La Liga,Matchweek 4,Sun,Home,W,2,1,Rayo Vallecano,2.0,13.0,4.0,30.8,0.15,0.5,15.4,0.0,0.0,0.0,2.3,2.3,0.17,-0.3,-0.3,Osasuna
81,2022-09-12,21:00,La Liga,Matchweek 5,Mon,Away,W,1,0,Almería,1.0,15.0,4.0,26.7,0.07,0.25,12.9,0.0,0.0,0.0,2.1,2.1,0.14,-1.1,-1.1,Osasuna
82,2022-09-18,14:00,La Liga,Matchweek 6,Sun,Home,L,0,2,Getafe,0.0,12.0,5.0,41.7,0.0,0.0,13.9,1.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9,Osasuna
83,2022-10-02,21:00,La Liga,Matchweek 7,Sun,Away,D,1,1,Real Madrid,1.0,8.0,2.0,25.0,0.13,0.5,15.1,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,Osasuna
84,2022-10-07,21:00,La Liga,Matchweek 8,Fri,Home,L,1,2,Valencia,1.0,10.0,2.0,20.0,0.1,0.5,14.3,0.0,0.0,1.0,1.5,0.7,0.07,-0.5,0.3,Osasuna
