_date_,_time_,comp,round,_day_,home,away,homegoal,xg_home,homeshots,homeshots_on_target,home_distance,home_freekicks,home_penkicks,home_penkicksattempt,awaygoal,xg_away,awayshots,awayshots_on_target,away_distance,away_freekicks,away_penkicks,away_penkicksattempt
2017-10-01,18:30:00,La Liga,Matchweek 7,Sun,Villarreal,Eibar,3,2.5,11,5,16.5,0,1,1,0,0.2,6,0,19.5,0,0,0
2017-10-01,16:15:00,La Liga,Matchweek 7,Sun,Barcelona,Las Palmas,3,3.3,22,10,15.2,3,0,0,0,0.6,11,1,21.6,1,0,0
2017-10-01,20:45:00,La Liga,Matchweek 7,Sun,Real Madrid,Espanyol,2,2.7,23,9,16.9,0,0,0,0,0.7,8,2,19.7,0,0,0
2017-10-01,18:30:00,La Liga,Matchweek 7,Sun,Valencia,Athletic Club,3,2.3,9,4,17.3,0,1,1,2,1.6,16,6,12.8,0,0,0
2017-10-13,21:00:00,La Liga,Matchweek 8,Fri,Espanyol,Levante,0,1.8,20,5,16.3,1,0,0,0,0.8,13,3,21.5,0,0,0
2017-10-14,18:30:00,La Liga,Matchweek 8,Sat,Alavés,Real Sociedad,0,0.5,8,0,19.7,0,0,0,2,0.7,14,6,22.3,1,0,0
2017-10-14,13:00:00,La Liga,Matchweek 8,Sat,Athletic Club,Sevilla,1,1.7,15,3,14.9,0,0,0,0,1.3,15,5,15.0,1,0,0
2017-10-14,16:15:00,La Liga,Matchweek 8,Sat,Getafe,Real Madrid,1,1.3,9,3,14.7,0,0,0,2,1.6,16,6,18.4,1,0,0
2017-10-14,20:45:00,La Liga,Matchweek 8,Sat,Atlético Madrid,Barcelona,1,0.5,5,4,16.5,0,0,0,1,1.5,15,7,18.1,2,0,0
2017-10-15,12:00:00,La Liga,Matchweek 8,Sun,Eibar,La Coruña,0,0.7,12,4,18.6,0,0,0,0,0.3,8,2,29.6,0,0,0
2017-10-15,20:45:00,La Liga,Matchweek 8,Sun,Betis,Valencia,3,1.9,12,4,17.6,1,0,1,6,1.3,13,9,15.8,0,0,0
2017-10-15,18:30:00,La Liga,Matchweek 8,Sun,Málaga,Leganés,0,0.6,13,5,22.0,0,0,0,2,2.0,19,9,21.6,0,0,0
2017-10-15,16:15:00,La Liga,Matchweek 8,Sun,Girona,Villarreal,1,1.4,26,5,15.3,1,0,0,2,1.2,10,3,20.4,0,0,0
2017-10-16,20:00:00,La Liga,Matchweek 8,Mon,Las Palmas,Celta Vigo,2,1.8,24,11,14.6,0,0,0,5,1.5,14,7,15.9,0,0,0
2017-10-21,18:30:00,La Liga,Matchweek 9,Sat,Valencia,Sevilla,4,2.1,18,8,19.7,2,0,0,0,1.2,18,6,18.9,2,0,0
2017-10-21,20:45:00,La Liga,Matchweek 9,Sat,Barcelona,Málaga,2,1.7,12,4,15.4,1,0,0,0,0.7,13,5,18.7,0,0,0
2017-10-21,13:00:00,La Liga,Matchweek 9,Sat,Levante,Getafe,1,0.5,6,1,16.3,0,0,0,1,0.8,9,5,17.1,0,0,0
2017-10-21,16:15:00,La Liga,Matchweek 9,Sat,Betis,Alavés,2,0.8,12,5,18.6,0,0,0,0,0.7,7,3,18.8,1,0,0
2017-10-22,18:30:00,La Liga,Matchweek 9,Sun,Leganés,Athletic Club,1,1.1,16,4,25.4,2,0,0,0,0.7,7,1,14.3,0,0,0
2017-10-22,16:15:00,La Liga,Matchweek 9,Sun,Celta Vigo,Atlético Madrid,0,0.8,19,8,18.8,1,0,0,1,0.7,4,2,15.0,0,0,0
2017-10-22,20:45:00,La Liga,Matchweek 9,Sun,Real Madrid,Eibar,3,1.2,15,7,19.8,1,0,0,0,0.4,9,2,25.3,0,0,0
2017-10-22,12:00:00,La Liga,Matchweek 9,Sun,Villarreal,Las Palmas,4,2.5,25,9,18.1,0,0,0,0,1.0,16,5,19.3,1,0,0
2017-10-23,20:00:00,La Liga,Matchweek 9,Mon,Real Sociedad,Espanyol,1,0.8,19,5,18.4,1,0,0,1,0.4,4,1,22.0,0,0,0
2017-10-23,21:00:00,La Liga,Matchweek 9,Mon,La Coruña,Girona,1,1.9,14,4,17.0,1,1,1,2,1.9,12,5,21.3,1,1,1
2017-10-28,20:45:00,La Liga,Matchweek 10,Sat,Athletic Club,Barcelona,0,1.3,17,5,19.1,0,0,0,2,2.5,17,5,16.1,2,0,0
2017-10-28,18:30:00,La Liga,Matchweek 10,Sat,Atlético Madrid,Villarreal,1,1.5,18,5,17.9,1,0,0,1,0.7,12,4,19.6,0,0,0
2017-10-28,22:30:00,La Liga,Matchweek 10,Sat,Sevilla,Leganés,2,1.4,9,5,18.8,0,0,0,1,1.1,8,0,24.6,0,1,1
2017-10-28,13:00:00,La Liga,Matchweek 10,Sat,Alavés,Valencia,1,0.8,18,7,21.1,2,0,0,2,1.1,7,2,15.8,0,1,1
2017-10-29,12:00:00,La Liga,Matchweek 10,Sun,Getafe,Real Sociedad,2,1.8,9,4,17.3,1,1,1,1,1.2,15,4,18.1,1,0,0
2017-10-29,18:30:00,La Liga,Matchweek 10,Sun,Eibar,Levante,2,1.0,16,6,16.1,1,0,0,2,0.7,3,2,12.7,0,0,0
2017-10-29,16:15:00,La Liga,Matchweek 10,Sun,Girona,Real Madrid,2,1.6,15,4,20.5,1,0,0,1,1.7,14,5,15.0,0,0,0
2017-10-29,20:45:00,La Liga,Matchweek 10,Sun,Málaga,Celta Vigo,2,1.7,15,3,18.6,1,1,1,1,1.5,10,2,14.1,1,0,0
2017-10-30,20:00:00,La Liga,Matchweek 10,Mon,Las Palmas,La Coruña,1,0.6,13,5,15.5,1,0,0,3,1.7,14,4,16.3,0,1,1
2017-10-30,21:00:00,La Liga,Matchweek 10,Mon,Espanyol,Betis,1,0.8,10,4,24.1,0,0,0,0,0.4,9,4,21.6,0,0,0
2017-11-03,21:00:00,La Liga,Matchweek 11,Fri,Betis,Getafe,2,1.3,14,4,19.3,0,0,0,2,1.2,9,2,14.2,0,0,0
2017-11-04,16:15:00,La Liga,Matchweek 11,Sat,La Coruña,Atlético Madrid,0,0.5,14,1,22.9,0,0,0,1,0.5,11,3,22.9,0,0,0
2017-11-04,20:45:00,La Liga,Matchweek 11,Sat,Barcelona,Sevilla,2,2.0,18,5,17.4,1,0,0,1,0.4,8,3,19.2,0,0,0
2017-11-04,18:30:00,La Liga,Matchweek 11,Sat,Alavés,Espanyol,1,1.2,17,5,22.8,1,0,0,0,0.8,11,3,18.4,0,0,0
2017-11-04,13:00:00,La Liga,Matchweek 11,Sat,Valencia,Leganés,3,1.9,12,5,17.9,1,1,1,0,1.0,13,6,19.7,1,0,0
2017-11-05,12:00:00,La Liga,Matchweek 11,Sun,Levante,Girona,1,0.6,7,4,16.9,1,0,0,2,1.1,10,5,16.2,1,0,0
2017-11-05,18:30:00,La Liga,Matchweek 11,Sun,Villarreal,Málaga,2,0.9,14,3,22.0,1,0,0,0,0.6,11,3,18.9,0,0,0
2017-11-05,20:45:00,La Liga,Matchweek 11,Sun,Real Madrid,Las Palmas,3,2.4,27,9,18.5,2,0,0,0,0.2,3,1,11.8,0,0,0
2017-11-05,16:15:00,La Liga,Matchweek 11,Sun,Celta Vigo,Athletic Club,3,1.2,11,5,17.5,1,0,0,1,1.6,15,5,12.7,1,0,0
2017-11-05,18:30:00,La Liga,Matchweek 11,Sun,Real Sociedad,Eibar,3,2.1,9,6,11.6,1,0,0,1,0.4,9,5,19.0,0,0,0
2017-11-17,21:00:00,La Liga,Matchweek 12,Fri,Girona,Real Sociedad,1,1.2,14,4,20.0,1,0,0,1,1.3,14,5,18.4,1,0,0
2017-11-18,16:15:00,La Liga,Matchweek 12,Sat,Leganés,Barcelona,0,1.3,18,7,21.9,1,0,0,3,1.7,11,6,11.2,0,0,0
2017-11-18,20:45:00,La Liga,Matchweek 12,Sat,Atlético Madrid,Real Madrid,0,0.9,10,0,18.5,0,0,0,0,1.3,14,3,20.0,2,0,0
2017-11-18,18:30:00,La Liga,Matchweek 12,Sat,Sevilla,Celta Vigo,2,1.3,12,5,13.6,0,0,0,1,1.7,11,5,11.8,1,0,0
2017-11-18,13:00:00,La Liga,Matchweek 12,Sat,Getafe,Alavés,4,2.8,12,7,11.9,0,1,1,1,0.7,10,6,16.7,0,0,0
2017-11-19,20:45:00,La Liga,Matchweek 12,Sun,Athletic Club,Villarreal,1,0.7,15,3,16.3,0,0,0,1,1.1,6,3,24.8,0,0,1
2017-11-19,16:15:00,La Liga,Matchweek 12,Sun,Espanyol,Valencia,0,1.2,13,4,15.1,1,0,0,2,0.7,9,4,17.9,0,0,0
2017-11-19,17:30:00,La Liga,Matchweek 12,Sun,Las Palmas,Levante,0,0.7,11,5,17.5,1,0,0,2,0.9,11,6,19.0,2,0,0
2017-11-19,12:00:00,La Liga,Matchweek 12,Sun,Málaga,La Coruña,3,1.7,14,5,18.8,0,0,0,2,1.6,12,5,17.7,0,0,0
2017-11-20,21:00:00,La Liga,Matchweek 12,Mon,Eibar,Betis,5,2.2,16,7,21.1,0,1,1,0,1.0,4,0,18.2,0,0,0
2017-11-24,21:00:00,La Liga,Matchweek 13,Fri,Celta Vigo,Leganés,1,1.6,13,6,18.8,0,1,1,0,1.2,10,2,21.0,1,0,0
2017-11-25,18:30:00,La Liga,Matchweek 13,Sat,Betis,Girona,2,1.0,12,6,19.0,2,0,0,2,1.3,13,7,16.8,0,0,0
2017-11-25,16:15:00,La Liga,Matchweek 13,Sat,Real Madrid,Málaga,3,2.4,15,8,14.5,0,0,1,2,0.3,9,3,21.6,0,0,0
2017-11-25,13:00:00,La Liga,Matchweek 13,Sat,Alavés,Eibar,1,0.4,6,2,20.0,0,0,0,2,0.7,12,6,18.7,1,0,0
2017-11-25,20:45:00,La Liga,Matchweek 13,Sat,Levante,Atlético Madrid,0,1.3,17,2,19.9,3,0,0,5,3.6,17,10,15.5,0,0,0
2017-11-26,16:15:00,La Liga,Matchweek 13,Sun,Real Sociedad,Las Palmas,2,1.9,16,3,14.4,1,0,0,2,1.4,8,7,15.1,0,0,0
2017-11-26,12:00:00,La Liga,Matchweek 13,Sun,La Coruña,Athletic Club,2,1.8,15,4,15.8,1,0,0,2,1.1,10,3,17.3,0,0,0
2017-11-26,20:45:00,La Liga,Matchweek 13,Sun,Valencia,Barcelona,1,1.2,9,1,17.1,0,0,0,1,1.0,12,8,17.5,1,0,0
2017-11-26,18:30:00,La Liga,Matchweek 13,Sun,Villarreal,Sevilla,2,2.3,19,3,17.4,1,0,0,3,1.6,16,3,20.0,0,1,1
2017-11-27,21:00:00,La Liga,Matchweek 13,Mon,Espanyol,Getafe,1,1.2,11,5,19.6,1,0,0,0,1.0,7,4,17.1,0,0,0
2017-12-01,21:00:00,La Liga,Matchweek 14,Fri,Málaga,Levante,0,0.7,19,2,17.1,0,0,0,0,0.7,4,2,13.9,0,0,0
2017-12-02,18:30:00,La Liga,Matchweek 14,Sat,Sevilla,La Coruña,2,1.1,10,7,17.3,0,0,0,0,0.7,12,2,16.6,1,0,0
2017-12-02,16:15:00,La Liga,Matchweek 14,Sat,Atlético Madrid,Real Sociedad,2,2.7,15,9,16.8,0,0,0,1,1.7,10,1,15.7,0,1,1
2017-12-02,20:45:00,La Liga,Matchweek 14,Sat,Athletic Club,Real Madrid,0,1.1,12,5,14.8,0,0,0,0,1.1,19,4,17.8,1,0,0
2017-12-02,13:00:00,La Liga,Matchweek 14,Sat,Barcelona,Celta Vigo,2,3.3,22,7,13.1,1,0,0,2,1.4,10,5,16.9,0,0,0
2017-12-03,19:45:00,La Liga,Matchweek 14,Sun,Las Palmas,Betis,1,2.2,21,7,16.0,2,0,0,0,0.4,8,2,20.7,0,0,0
2017-12-03,18:30:00,La Liga,Matchweek 14,Sun,Eibar,Espanyol,3,1.8,10,4,22.0,2,1,1,1,0.4,6,4,20.7,1,0,0
2017-12-03,16:15:00,La Liga,Matchweek 14,Sun,Getafe,Valencia,1,0.8,11,3,18.8,0,0,0,0,0.6,14,6,20.3,4,0,0
2017-12-03,12:00:00,La Liga,Matchweek 14,Sun,Leganés,Villarreal,3,0.9,11,5,16.7,1,0,0,1,1.1,12,4,17.4,0,0,0
2017-12-04,21:00:00,La Liga,Matchweek 14,Mon,Girona,Alavés,2,0.6,12,3,18.5,1,0,0,3,1.7,8,3,25.5,0,1,1
2017-12-08,21:00:00,La Liga,Matchweek 15,Fri,Alavés,Las Palmas,2,3.4,23,9,13.7,0,0,0,0,0.3,6,1,22.6,2,0,0
