_date_,_time_,comp,round,_day_,attendance,referee,home,away,homegoal,xg_home,awaygoal,xg_away,homeformation,awayformation,homepossession,awaypossession,homecaptain,awaycaptain
2017-10-01,16:15:00,La Liga,Matchweek 7,Sun,,José Munuera,Barcelona,Las Palmas,3,3.3,0,0.6,4-4-2,4-2-3-1,48.0,52.0,Lionel Messi,Jonathan Viera
2017-10-13,21:00:00,La Liga,Matchweek 8,Fri,19365,Alberto Undiano,Espanyol,Levante,0,1.8,0,0.8,4-2-3-1,4-2-3-1,58.0,42.0,Gerard Moreno,Pedro López Muñoz
2017-10-14,20:45:00,La Liga,Matchweek 8,Sat,64393,Antonio Matéu Lahoz,Atlético Madrid,Barcelona,1,0.5,1,1.5,4-4-2,4-4-2,32.0,68.0,Gabi,Andrés Iniesta
2017-10-14,16:15:00,La Liga,Matchweek 8,Sat,15350,Juan Martínez,Getafe,Real Madrid,1,1.3,2,1.6,4-4-1-1,4-4-2,32.0,68.0,Jorge Molina,Sergio Ramos
2017-10-14,13:00:00,La Liga,Matchweek 8,Sat,40197,Ignacio Iglesias,Athletic Club,Sevilla,1,1.7,0,1.3,4-1-4-1,4-2-3-1,44.0,56.0,Markel Susaeta,Jesús Navas
2017-10-14,18:30:00,La Liga,Matchweek 8,Sat,19840,Alberola Rojas,Alavés,Real Sociedad,0,0.5,2,0.7,4-5-1,4-3-3,27.0,73.0,Manu García,Xabi Prieto
2017-10-15,20:45:00,La Liga,Matchweek 8,Sun,48792,José Sánchez,Betis,Valencia,3,1.9,6,1.3,4-3-3,4-4-2,58.0,42.0,Joaquín,Daniel Parejo
2017-10-15,18:30:00,La Liga,Matchweek 8,Sun,23951,José González,Málaga,Leganés,0,0.6,2,2.0,4-2-3-1,4-2-3-1,56.0,44.0,Recio,Alexander
2017-10-15,12:00:00,La Liga,Matchweek 8,Sun,5125,Santiago Jaime,Eibar,La Coruña,0,0.7,0,0.3,3-5-2,4-2-3-1,55.0,45.0,Dani García,Celso Borges
2017-10-15,16:15:00,La Liga,Matchweek 8,Sun,9935,Carlos del Cerro,Girona,Villarreal,1,1.4,2,1.2,3-4-3,4-4-2◆,51.0,49.0,Álex Granell,Mario Gaspar
2017-10-16,20:00:00,La Liga,Matchweek 8,Mon,15799,David Medié,Las Palmas,Celta Vigo,2,1.8,5,1.5,4-3-3,4-3-3,59.0,41.0,David García,Iago Aspas
2017-10-21,16:15:00,La Liga,Matchweek 9,Sat,49243,Daniel Trujillo,Betis,Alavés,2,0.8,0,0.7,4-1-4-1,3-4-3,67.0,33.0,Joaquín,Manu García
2017-10-21,20:45:00,La Liga,Matchweek 9,Sat,74397,Pablo González,Barcelona,Málaga,2,1.7,0,0.7,4-4-2,4-2-3-1,64.0,36.0,Andrés Iniesta,Roberto Rosales
2017-10-21,18:30:00,La Liga,Matchweek 9,Sat,44307,Javier Estrada,Valencia,Sevilla,4,2.1,0,1.2,4-4-2,4-1-4-1,51.0,49.0,Daniel Parejo,Sergio Escudero
2017-10-21,13:00:00,La Liga,Matchweek 9,Sat,18064,Ricardo de Burgos,Levante,Getafe,1,0.5,1,0.8,4-1-4-1,4-2-3-1,50.0,50.0,Pedro López Muñoz,Jorge Molina
2017-10-22,16:15:00,La Liga,Matchweek 9,Sun,12978,José Munuera,Celta Vigo,Atlético Madrid,0,0.8,1,0.7,4-3-3,4-4-2,66.0,34.0,Hugo Mallo,Gabi
2017-10-22,12:00:00,La Liga,Matchweek 9,Sun,16606,David Fernández,Villarreal,Las Palmas,4,2.5,0,1.0,4-4-2◆,4-3-3,50.0,50.0,Mario Gaspar,Jonathan Viera
2017-10-22,20:45:00,La Liga,Matchweek 9,Sun,66781,Alfonso Álvarez,Real Madrid,Eibar,3,1.2,0,0.4,4-4-2◆,3-5-2,58.0,42.0,Sergio Ramos,Ander Capa
2017-10-22,18:30:00,La Liga,Matchweek 9,Sun,11454,Antonio Matéu Lahoz,Leganés,Athletic Club,1,1.1,0,0.7,4-2-3-1,4-2-3-1,41.0,59.0,Gabriel,Mikel San José
2017-10-23,21:00:00,La Liga,Matchweek 9,Mon,17463,Jesús Gil,La Coruña,Girona,1,1.9,2,1.9,4-2-3-1,3-4-3,60.0,40.0,Celso Borges,Aday
2017-10-23,20:00:00,La Liga,Matchweek 9,Mon,18515,Mario Melero,Real Sociedad,Espanyol,1,0.8,1,0.4,4-3-3,4-4-2,62.0,38.0,Xabi Prieto,Víctor Sánchez
2017-10-28,20:45:00,La Liga,Matchweek 10,Sat,43570,Juan Martínez,Athletic Club,Barcelona,0,1.3,2,2.5,4-2-3-1,4-4-2,40.0,60.0,Ander Iturraspe,Lionel Messi
2017-10-28,18:30:00,La Liga,Matchweek 10,Sat,61421,Alberto Undiano,Atlético Madrid,Villarreal,1,1.5,1,0.7,4-4-2,4-4-2◆,46.0,54.0,Gabi,Mario Gaspar
2017-10-28,13:00:00,La Liga,Matchweek 10,Sat,18638,José González,Alavés,Valencia,1,0.8,2,1.1,3-5-2,4-4-2,45.0,55.0,Manu García,José Luis Gayà
2017-10-28,22:30:00,La Liga,Matchweek 10,Sat,32097,David Medié,Sevilla,Leganés,2,1.4,1,1.1,4-3-3,4-4-1-1,61.0,39.0,Sergio Escudero,Alexander
2017-10-29,20:45:00,La Liga,Matchweek 10,Sun,19541,Santiago Jaime,Málaga,Celta Vigo,2,1.7,1,1.5,4-2-3-1,4-3-3,36.0,64.0,Recio,Hugo Mallo
2017-10-29,12:00:00,La Liga,Matchweek 10,Sun,11010,José Sánchez,Getafe,Real Sociedad,2,1.8,1,1.2,4-4-2,4-3-3,45.0,55.0,Jorge Molina,Iñigo Martínez
2017-10-29,18:30:00,La Liga,Matchweek 10,Sun,5131,Alberola Rojas,Eibar,Levante,2,1.0,2,0.7,3-5-2,4-1-4-1,68.0,32.0,Dani García,Pedro López Muñoz
2017-10-29,16:15:00,La Liga,Matchweek 10,Sun,13382,Alejandro Hernández,Girona,Real Madrid,2,1.6,1,1.7,3-4-3,4-4-2◆,40.0,60.0,Álex Granell,Sergio Ramos
2017-10-30,20:00:00,La Liga,Matchweek 10,Mon,14805,Carlos del Cerro,Las Palmas,La Coruña,1,0.6,3,1.7,4-3-3,4-2-3-1,62.0,38.0,Jonathan Viera,Celso Borges
2017-10-30,21:00:00,La Liga,Matchweek 10,Mon,17856,Ignacio Iglesias,Espanyol,Betis,1,0.8,0,0.4,4-4-2,4-3-3,40.0,60.0,Víctor Sánchez,Joaquín
2017-11-03,21:00:00,La Liga,Matchweek 11,Fri,42323,Antonio Matéu Lahoz,Betis,Getafe,2,1.3,2,1.2,4-1-4-1,4-4-2,73.0,27.0,Joaquín,Jorge Molina
2017-11-04,20:45:00,La Liga,Matchweek 11,Sat,70723,José González,Barcelona,Sevilla,2,2.0,1,0.4,4-4-2,4-2-3-1,52.0,48.0,Andrés Iniesta,Sergio Escudero
