_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away,homegoal,awaygoal
28,Sun,2019-03-17,18:30:00,Villarreal,3–1,Rayo Vallecano,17117,Estadio de la Cerámica,José González,2.1,0.2,3,1
28,Sun,2019-03-17,20:45:00,Betis,1–4,Barcelona,54172,Estadio Benito Villamarín,Ricardo de Burgos,1.0,2.9,1,4
29,Fri,2019-03-29,21:00:00,Girona,1–2,Athletic Club,10652,Estadi Municipal de Montilivi,José Sánchez,0.3,0.7,1,2
29,Sat,2019-03-30,13:00:00,Getafe,0–2,Leganés,12705,Coliseum Alfonso Pérez,Pablo González,0.5,1.2,0,2
29,Sat,2019-03-30,16:15:00,Barcelona,2–0,Espanyol,92795,Camp Nou,Carlos del Cerro,1.1,0.2,2,0
29,Sat,2019-03-30,18:30:00,Celta Vigo,3–2,Villarreal,22315,Estadio de Balaídos,Jesús Gil,1.5,2.2,3,2
29,Sat,2019-03-30,20:45:00,Alavés,0–4,Atlético Madrid,19117,Estadio de Mendizorroza,Mario Melero,0.7,1.5,0,4
29,Sun,2019-03-31,12:00:00,Levante,2–2,Eibar,16179,Estadio Ciudad de Valencia,Eduardo Prieto,1.0,1.7,2,2
29,Sun,2019-03-31,14:00:00,Rayo Vallecano,1–1,Betis,12310,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,2.2,0.5,1,1
29,Sun,2019-03-31,16:15:00,Sevilla,0–1,Valencia,38450,Estadio Ramón Sánchez Pizjuán,José González,1.1,0.9,0,1
29,Sun,2019-03-31,18:30:00,Valladolid,1–1,Real Sociedad,18775,Estadio Municipal José Zorrilla,Alberola Rojas,1.2,0.4,1,1
29,Sun,2019-03-31,20:45:00,Real Madrid,3–2,Huesca,49269,Estadio Santiago Bernabéu,Javier Estrada,3.5,1.6,3,2
30,Tue,2019-04-02,19:30:00,Atlético Madrid,2–0,Girona,40863,Estadio Wanda Metropolitano,Ignacio Iglesias,2.5,0.4,2,0
30,Tue,2019-04-02,20:30:00,Espanyol,1–1,Getafe,16322,RCDE Stadium,Ricardo de Burgos,1.5,1.3,1,1
30,Tue,2019-04-02,21:30:00,Villarreal,4–4,Barcelona,19515,Estadio de la Cerámica,Alejandro Hernández,2.8,2.4,4,4
30,Wed,2019-04-03,19:30:00,Athletic Club,3–2,Levante,36450,San Mamés,José Luis Munuera,1.7,1.3,3,2
30,Wed,2019-04-03,20:30:00,Huesca,3–3,Celta Vigo,6552,Estadio El Alcoraz,Adrián Cordero,2.6,1.4,3,3
30,Wed,2019-04-03,20:30:00,Eibar,2–1,Rayo Vallecano,3940,Estadio Municipal de Ipurúa,Alberto Undiano,1.4,0.7,2,1
30,Wed,2019-04-03,21:30:00,Valencia,2–1,Real Madrid,44274,Estadio de Mestalla,Santiago Jaime,1.5,0.7,2,1
30,Thu,2019-04-04,19:30:00,Sevilla,2–0,Alavés,33212,Estadio Ramón Sánchez Pizjuán,Juan Martínez,1.4,0.4,2,0
30,Thu,2019-04-04,20:30:00,Leganés,1–0,Valladolid,10185,Estadio Municipal de Butarque,Guillermo Cuadra,1.8,0.8,1,0
30,Thu,2019-04-04,21:30:00,Real Sociedad,2–1,Betis,16417,Estadio Municipal de Anoeta,David Medié,2.0,1.2,2,1
31,Sat,2019-04-06,13:00:00,Girona,1–2,Espanyol,11463,Estadi Municipal de Montilivi,Eduardo Prieto,1.7,0.4,1,2
31,Sat,2019-04-06,16:15:00,Real Madrid,2–1,Eibar,50284,Estadio Santiago Bernabéu,Pablo González,1.3,0.5,2,1
31,Sat,2019-04-06,18:30:00,Rayo Vallecano,2–0,Valencia,11320,Estadio del Rayo Vallecano,Alberola Rojas,1.8,2.1,2,0
31,Sat,2019-04-06,20:45:00,Barcelona,2–0,Atlético Madrid,92453,Camp Nou,Jesús Gil,2.2,0.5,2,0
31,Sun,2019-04-07,12:00:00,Alavés,1–1,Leganés,16783,Estadio de Mendizorroza,Antonio Matéu Lahoz,0.9,0.8,1,1
31,Sun,2019-04-07,14:00:00,Getafe,1–0,Athletic Club,11617,Coliseum Alfonso Pérez,José González,0.7,0.5,1,0
31,Sun,2019-04-07,16:15:00,Valladolid,0–2,Sevilla,17989,Estadio Municipal José Zorrilla,José Sánchez,0.8,1.7,0,2
31,Sun,2019-04-07,18:30:00,Levante,2–2,Huesca,19824,Estadio Ciudad de Valencia,Carlos del Cerro,2.6,0.8,2,2
