_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away,homegoal,awaygoal
20,Sat,2020-01-18,16:00:00,Real Madrid,2–1,Sevilla,72512,Estadio Santiago Bernabéu,Juan Martínez,1.2,0.5,2,1
20,Sat,2020-01-18,18:30:00,Osasuna,0–0,Valladolid,15382,Estadio El Sadar,Alberola Rojas,1.3,0.6,0,0
20,Sat,2020-01-18,21:00:00,Eibar,2–0,Atlético Madrid,6429,Estadio Municipal de Ipurúa,Jesús Gil,1.1,0.9,2,0
20,Sun,2020-01-19,12:00:00,Mallorca,4–1,Valencia,9856,Iberostar Estadi,Mario Melero,1.8,0.4,4,1
20,Sun,2020-01-19,14:00:00,Betis,3–0,Real Sociedad,51171,Estadio Benito Villamarín,Adrián Cordero,1.6,0.5,3,0
20,Sun,2020-01-19,16:00:00,Villarreal,1–2,Espanyol,12053,Estadio de la Cerámica,Pablo González,2.1,1.5,1,2
20,Sun,2020-01-19,18:30:00,Athletic Club,1–1,Celta Vigo,41348,San Mamés,David Medié,3.4,0.6,1,1
20,Sun,2020-01-19,21:00:00,Barcelona,1–0,Granada,65444,Camp Nou,Valentín Pizarro,1.6,0.2,1,0
21,Fri,2020-01-24,21:00:00,Osasuna,2–0,Levante,14667,Estadio El Sadar,César Soto,1.9,0.5,2,0
21,Sat,2020-01-25,16:00:00,Valencia,2–0,Barcelona,45882,Estadio de Mestalla,Jesús Gil,1.3,1.1,2,0
21,Sat,2020-01-25,13:00:00,Espanyol,1–1,Athletic Club,27542,RCDE Stadium,José Sánchez,0.6,0.9,1,1
21,Sat,2020-01-25,18:30:00,Alavés,1–2,Villarreal,18153,Estadio de Mendizorroza,José Luis Munuera,0.5,1.2,1,2
21,Sat,2020-01-25,21:00:00,Sevilla,2–0,Granada,33533,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,0.7,0.6,2,0
21,Sun,2020-01-26,12:00:00,Atlético Madrid,0–0,Leganés,52767,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,1.0,0.7,0,0
21,Sun,2020-01-26,14:00:00,Celta Vigo,0–0,Eibar,15490,Estadio de Balaídos,José González,1.1,0.1,0,0
21,Sun,2020-01-26,16:00:00,Getafe,1–0,Betis,13244,Coliseum Alfonso Pérez,Eduardo Prieto,1.3,1.3,1,0
21,Sun,2020-01-26,18:30:00,Real Sociedad,3–0,Mallorca,29912,Estadio Municipal de Anoeta,Santiago Jaime,1.7,0.5,3,0
21,Sun,2020-01-26,21:00:00,Valladolid,0–1,Real Madrid,23404,Estadio Municipal José Zorrilla,Ricardo de Burgos,0.3,0.5,0,1
22,Sat,2020-02-01,13:00:00,Granada,2–1,Espanyol,15226,Estadio Nuevo Los Cármenes,Guillermo Cuadra,0.7,1.8,2,1
22,Sat,2020-02-01,16:00:00,Real Madrid,1–0,Atlético Madrid,77223,Estadio Santiago Bernabéu,Javier Estrada,1.1,0.2,1,0
22,Sat,2020-02-01,18:30:00,Mallorca,0–1,Valladolid,13891,Iberostar Estadi,David Medié,0.5,0.8,0,1
22,Sat,2020-02-01,21:00:00,Valencia,1–0,Celta Vigo,39637,Estadio de Mestalla,Pablo González,0.9,1.2,1,0
22,Sun,2020-02-02,12:00:00,Leganés,2–1,Real Sociedad,10842,Estadio Municipal de Butarque,Mario Melero,1.1,0.1,2,1
22,Sun,2020-02-02,14:00:00,Eibar,1–1,Betis,6558,Estadio Municipal de Ipurúa,Juan Martínez,1.8,1.5,1,1
22,Sun,2020-02-02,16:00:00,Athletic Club,0–2,Getafe,40291,San Mamés,Alberola Rojas,0.8,1.5,0,2
22,Sun,2020-02-02,18:30:00,Sevilla,1–1,Alavés,36286,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,1.4,0.6,1,1
22,Sun,2020-02-02,18:30:00,Villarreal,3–1,Osasuna,17081,Estadio de la Cerámica,Valentín Pizarro,1.7,0.9,3,1
22,Sun,2020-02-02,21:00:00,Barcelona,2–1,Levante,60295,Camp Nou,Adrián Cordero,3.5,1.2,2,1
23,Fri,2020-02-07,21:00:00,Alavés,2–1,Eibar,17089,Estadio de Mendizorroza,Eduardo Prieto,1.2,0.2,2,1
23,Sat,2020-02-08,13:00:00,Levante,2–0,Leganés,17110,Estadio Ciudad de Valencia,José González,0.9,1.0,2,0
23,Sat,2020-02-08,16:00:00,Getafe,3–0,Valencia,13070,Coliseum Alfonso Pérez,Ricardo de Burgos,2.8,0.3,3,0
23,Sat,2020-02-08,18:30:00,Valladolid,1–1,Villarreal,17547,Estadio Municipal José Zorrilla,Alejandro Hernández,0.6,1.0,1,1
23,Sat,2020-02-08,21:00:00,Atlético Madrid,1–0,Granada,54113,Estadio Wanda Metropolitano,César Soto,0.8,0.7,1,0
23,Sun,2020-02-09,12:00:00,Espanyol,1–0,Mallorca,32084,RCDE Stadium,Antonio Matéu Lahoz,1.0,0.6,1,0
23,Sun,2020-02-09,14:00:00,Real Sociedad,2–1,Athletic Club,36730,Estadio Municipal de Anoeta,José Luis Munuera,1.6,0.3,2,1
23,Sun,2020-02-09,16:00:00,Osasuna,1–4,Real Madrid,17000,Estadio El Sadar,Jesús Gil,0.8,2.4,1,4
23,Sun,2020-02-09,18:30:00,Celta Vigo,2–1,Sevilla,20375,Estadio de Balaídos,Santiago Jaime,1.2,1.0,2,1
23,Sun,2020-02-09,21:00:00,Betis,2–3,Barcelona,54526,Estadio Benito Villamarín,José Sánchez,1.0,1.5,2,3
24,Fri,2020-02-14,21:00:00,Valencia,2–2,Atlético Madrid,42297,Estadio de Mestalla,David Medié,1.4,0.9,2,2
24,Sat,2020-02-15,13:00:00,Mallorca,1–0,Alavés,12329,Iberostar Estadi,Valentín Pizarro,1.8,0.9,1,0
24,Sat,2020-02-15,16:00:00,Barcelona,2–1,Getafe,89409,Camp Nou,Guillermo Cuadra,1.8,0.8,2,1
24,Sat,2020-02-15,18:30:00,Villarreal,2–1,Levante,17269,Estadio de la Cerámica,Mario Melero,0.8,1.4,2,1
24,Sat,2020-02-15,21:00:00,Granada,2–1,Valladolid,15782,Estadio Nuevo Los Cármenes,Juan Martínez,1.8,0.7,2,1
24,Sun,2020-02-16,12:00:00,Sevilla,2–2,Espanyol,35661,Estadio Ramón Sánchez Pizjuán,Adrián Cordero,1.2,0.5,2,2
24,Sun,2020-02-16,14:00:00,Leganés,0–0,Betis,11160,Estadio Municipal de Butarque,Javier Estrada,0.9,0.5,0,0
24,Sun,2020-02-16,18:30:00,Athletic Club,0–1,Osasuna,44222,San Mamés,Pablo González,0.7,0.4,0,1
24,Sun,2020-02-16,21:00:00,Real Madrid,2–2,Celta Vigo,62477,Estadio Santiago Bernabéu,Alberola Rojas,1.5,1.0,2,2
25,Fri,2020-02-21,21:00:00,Betis,3–3,Mallorca,47231,Estadio Benito Villamarín,Jesús Gil,3.2,0.6,3,3
25,Sat,2020-02-22,16:00:00,Barcelona,5–0,Eibar,66970,Camp Nou,César Soto,3.9,0.6,5,0
25,Sat,2020-02-22,13:00:00,Celta Vigo,1–0,Leganés,19335,Estadio de Balaídos,José Luis Munuera,0.2,0.4,1,0
25,Sat,2020-02-22,18:30:00,Real Sociedad,3–0,Valencia,31381,Estadio Municipal de Anoeta,José González,1.9,0.3,3,0
25,Sat,2020-02-22,21:00:00,Levante,1–0,Real Madrid,23566,Estadio Ciudad de Valencia,Alejandro Hernández,0.3,1.6,1,0
25,Sun,2020-02-23,14:00:00,Alavés,2–1,Athletic Club,19412,Estadio de Mendizorroza,Antonio Matéu Lahoz,1.6,0.8,2,1
25,Sun,2020-02-23,16:00:00,Valladolid,2–1,Espanyol,19645,Estadio Municipal José Zorrilla,Eduardo Prieto,1.4,1.2,2,1
25,Sun,2020-02-23,18:30:00,Getafe,0–3,Sevilla,13438,Coliseum Alfonso Pérez,Javier Estrada,0.3,2.3,0,3
25,Sun,2020-02-23,12:00:00,Osasuna,0–3,Granada,14866,Estadio El Sadar,José Sánchez,0.7,1.5,0,3
25,Sun,2020-02-23,21:00:00,Atlético Madrid,3–1,Villarreal,54462,Estadio Wanda Metropolitano,Ricardo de Burgos,1.3,0.7,3,1
26,Fri,2020-02-28,21:00:00,Real Sociedad,1–0,Valladolid,30611,Estadio Municipal de Anoeta,Valentín Pizarro,1.2,0.5,1,0
26,Sat,2020-02-29,13:00:00,Eibar,3–0,Levante,5920,Estadio Municipal de Ipurúa,Pablo González,2.4,0.8,3,0
26,Sat,2020-02-29,16:00:00,Valencia,2–1,Betis,37418,Estadio de Mestalla,Adrián Cordero,0.6,1.2,2,1
26,Sat,2020-02-29,18:30:00,Leganés,1–1,Alavés,10043,Estadio Municipal de Butarque,Juan Martínez,0.8,1.0,1,1
26,Sat,2020-02-29,21:00:00,Granada,0–0,Celta Vigo,15877,Estadio Nuevo Los Cármenes,Guillermo Cuadra,0.7,0.3,0,0
26,Sun,2020-03-01,12:00:00,Sevilla,3–2,Osasuna,31382,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,1.8,1.6,3,2
26,Sun,2020-03-01,14:00:00,Athletic Club,1–0,Villarreal,36350,San Mamés,David Medié,2.7,0.8,1,0
26,Sun,2020-03-01,16:00:00,Espanyol,1–1,Atlético Madrid,30360,RCDE Stadium,Alberola Rojas,1.1,0.8,1,1
26,Sun,2020-03-01,18:30:00,Mallorca,0–1,Getafe,14241,Iberostar Estadi,Mario Melero,0.1,0.7,0,1
26,Sun,2020-03-01,21:00:00,Real Madrid,2–0,Barcelona,78357,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,1.1,1.0,2,0
27,Fri,2020-03-06,21:00:00,Alavés,1–1,Valencia,14083,Estadio de Mendizorroza,Jesús Gil,1.2,0.5,1,1
27,Sat,2020-03-07,21:00:00,Getafe,0–0,Celta Vigo,11286,Coliseum Alfonso Pérez,José Sánchez,1.0,0.6,0,0
27,Sat,2020-03-07,13:00:00,Eibar,1–2,Mallorca,6110,Estadio Municipal de Ipurúa,Javier Estrada,0.9,1.1,1,2
27,Sat,2020-03-07,16:00:00,Atlético Madrid,2–2,Sevilla,60422,Estadio Wanda Metropolitano,Alejandro Hernández,2.6,1.5,2,2
27,Sat,2020-03-07,18:30:00,Barcelona,1–0,Real Sociedad,77035,Camp Nou,Juan Martínez,1.9,0.7,1,0
27,Sun,2020-03-08,14:00:00,Valladolid,1–4,Athletic Club,21632,Estadio Municipal José Zorrilla,José Luis Munuera,1.9,0.7,1,4
27,Sun,2020-03-08,12:00:00,Osasuna,1–0,Espanyol,15737,Estadio El Sadar,Ricardo de Burgos,2.0,0.3,1,0
27,Sun,2020-03-08,16:00:00,Levante,1–1,Granada,16168,Estadio Ciudad de Valencia,Eduardo Prieto,1.1,1.3,1,1
27,Sun,2020-03-08,18:30:00,Villarreal,1–2,Leganés,16143,Estadio de la Cerámica,César Soto,1.5,1.5,1,2
27,Sun,2020-03-08,21:00:00,Betis,2–1,Real Madrid,51521,Estadio Benito Villamarín,José González,1.2,1.4,2,1
24,Tue,2020-03-10,20:00:00,Eibar,1–2,Real Sociedad,,Estadio Municipal de Ipurúa,David Medié,2.2,1.5,1,2
28,Thu,2020-06-11,22:00:00,Sevilla,2–0,Betis,,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,1.5,0.5,2,0
28,Fri,2020-06-12,22:00:00,Valencia,1–1,Levante,,Estadio de Mestalla,Alberola Rojas,0.8,1.3,1,1
28,Fri,2020-06-12,19:30:00,Granada,2–1,Getafe,,Estadio Nuevo Los Cármenes,David Medié,1.7,0.7,2,1
28,Sat,2020-06-13,17:00:00,Celta Vigo,0–1,Villarreal,,Estadio de Balaídos,Valentín Pizarro,0.1,2.0,0,1
28,Sat,2020-06-13,14:00:00,Espanyol,2–0,Alavés,,RCDE Stadium,Pablo González,1.7,0.2,2,0
28,Sat,2020-06-13,22:00:00,Mallorca,0–4,Barcelona,,Iberostar Estadi,Carlos del Cerro,0.8,2.4,0,4
28,Sat,2020-06-13,19:30:00,Leganés,1–2,Valladolid,,Estadio Municipal de Butarque,Mario Melero,1.2,1.3,1,2
28,Sun,2020-06-14,22:00:00,Real Sociedad,1–1,Osasuna,,Estadio Municipal de Anoeta,Adrián Cordero,1.4,1.3,1,1
28,Sun,2020-06-14,19:30:00,Real Madrid,3–1,Eibar,,Estadio Alfredo Di Stéfano,Guillermo Cuadra,1.3,0.6,3,1
28,Sun,2020-06-14,14:00:00,Athletic Club,1–1,Atlético Madrid,,San Mamés,José González,0.4,1.4,1,1
29,Mon,2020-06-15,22:00:00,Betis,2–2,Granada,,Estadio Benito Villamarín,César Soto,1.7,0.7,2,2
29,Mon,2020-06-15,19:30:00,Levante,1–1,Sevilla,,Estadio Ciudad de Valencia,Alejandro Hernández,0.8,0.8,1,1
29,Tue,2020-06-16,19:30:00,Villarreal,1–0,Mallorca,,Estadio de la Cerámica,Javier Estrada,1.6,1.4,1,0
29,Tue,2020-06-16,22:00:00,Barcelona,2–0,Leganés,,Camp Nou,Juan Martínez,1.5,0.8,2,0
29,Tue,2020-06-16,19:30:00,Getafe,0–0,Espanyol,,Coliseum Alfonso Pérez,José Luis Munuera,1.3,0.9,0,0
29,Wed,2020-06-17,19:30:00,Valladolid,0–0,Celta Vigo,,Estadio Municipal José Zorrilla,Jesús Gil,0.4,1.1,0,0
29,Wed,2020-06-17,19:30:00,Eibar,2–2,Athletic Club,,Estadio Municipal de Ipurúa,Eduardo Prieto,2.1,1.3,2,2
29,Wed,2020-06-17,22:00:00,Osasuna,0–5,Atlético Madrid,,Estadio El Sadar,Ricardo de Burgos,1.1,2.0,0,5
29,Thu,2020-06-18,22:00:00,Real Madrid,3–0,Valencia,,Estadio Alfredo Di Stéfano,José Sánchez,1.8,0.4,3,0
29,Thu,2020-06-18,19:30:00,Alavés,2–0,Real Sociedad,,Estadio de Mendizorroza,Santiago Jaime,1.9,0.4,2,0
30,Fri,2020-06-19,19:30:00,Mallorca,1–1,Leganés,,Iberostar Estadi,Antonio Matéu Lahoz,0.4,1.5,1,1
30,Fri,2020-06-19,19:30:00,Granada,0–1,Villarreal,,Estadio Nuevo Los Cármenes,Guillermo Cuadra,1.2,0.6,0,1
30,Fri,2020-06-19,22:00:00,Sevilla,0–0,Barcelona,,Estadio Ramón Sánchez Pizjuán,José González,0.5,0.6,0,0
30,Sat,2020-06-20,14:00:00,Espanyol,1–3,Levante,,RCDE Stadium,Carlos del Cerro,0.5,1.6,1,3
30,Sat,2020-06-20,17:00:00,Athletic Club,1–0,Betis,,San Mamés,Valentín Pizarro,1.4,1.4,1,0
30,Sat,2020-06-20,19:30:00,Getafe,1–1,Eibar,,Coliseum Alfonso Pérez,Alberola Rojas,0.5,0.8,1,1
30,Sat,2020-06-20,22:00:00,Atlético Madrid,1–0,Valladolid,,Estadio Wanda Metropolitano,Pablo González,1.1,0.5,1,0
30,Sun,2020-06-21,14:00:00,Celta Vigo,6–0,Alavés,,Estadio de Balaídos,Adrián Cordero,2.7,0.4,6,0
30,Sun,2020-06-21,19:30:00,Valencia,2–0,Osasuna,,Estadio de Mestalla,David Medié,1.4,1.5,2,0
30,Sun,2020-06-21,22:00:00,Real Sociedad,1–2,Real Madrid,,Estadio Municipal de Anoeta,Javier Estrada,0.6,1.4,1,2
31,Mon,2020-06-22,19:30:00,Villarreal,2–2,Sevilla,,Estadio de la Cerámica,José Sánchez,0.7,1.0,2,2
31,Mon,2020-06-22,22:00:00,Leganés,0–0,Granada,,Estadio Municipal de Butarque,Ricardo de Burgos,1.5,0.3,0,0
31,Tue,2020-06-23,19:30:00,Levante,0–1,Atlético Madrid,,Estadio Ciudad de Valencia,José Luis Munuera,0.8,1.2,0,1
31,Tue,2020-06-23,19:30:00,Valladolid,1–1,Getafe,,Estadio Municipal José Zorrilla,César Soto,1.5,0.7,1,1
31,Tue,2020-06-23,22:00:00,Barcelona,1–0,Athletic Club,,Camp Nou,Jesús Gil,1.7,0.7,1,0
31,Wed,2020-06-24,19:30:00,Real Sociedad,0–1,Celta Vigo,,Estadio Municipal de Anoeta,Eduardo Prieto,0.7,0.9,0,1
31,Wed,2020-06-24,19:30:00,Alavés,0–1,Osasuna,,Estadio de Mendizorroza,Alejandro Hernández,0.5,0.7,0,1
31,Wed,2020-06-24,22:00:00,Real Madrid,2–0,Mallorca,,Estadio Alfredo Di Stéfano,Mario Melero,1.5,0.6,2,0
31,Thu,2020-06-25,19:30:00,Eibar,1–0,Valencia,,Estadio Municipal de Ipurúa,Santiago Jaime,0.5,0.5,1,0
31,Thu,2020-06-25,22:00:00,Betis,1–0,Espanyol,,Estadio Benito Villamarín,Juan Martínez,0.6,1.0,1,0
32,Fri,2020-06-26,22:00:00,Sevilla,1–1,Valladolid,,Estadio Ramón Sánchez Pizjuán,Valentín Pizarro,1.3,0.6,1,1
32,Sat,2020-06-27,14:00:00,Athletic Club,3–1,Mallorca,,San Mamés,Pablo González,2.3,1.2,3,1
32,Sat,2020-06-27,17:00:00,Celta Vigo,2–2,Barcelona,,Estadio de Balaídos,Guillermo Cuadra,2.6,1.8,2,2
32,Sat,2020-06-27,19:30:00,Osasuna,2–1,Leganés,,Estadio El Sadar,Alberola Rojas,0.7,1.4,2,1
32,Sat,2020-06-27,22:00:00,Atlético Madrid,2–1,Alavés,,Estadio Wanda Metropolitano,Mario Melero,1.5,1.0,2,1
32,Sun,2020-06-28,14:00:00,Levante,4–2,Betis,,Estadio Ciudad de Valencia,Santiago Jaime,1.7,1.9,4,2
32,Sun,2020-06-28,17:00:00,Villarreal,2–0,Valencia,,Estadio de la Cerámica,José González,1.4,0.3,2,0
32,Sun,2020-06-28,19:30:00,Granada,1–2,Eibar,,Estadio Nuevo Los Cármenes,Carlos del Cerro,1.2,1.7,1,2
32,Sun,2020-06-28,22:00:00,Espanyol,0–1,Real Madrid,,RCDE Stadium,Antonio Matéu Lahoz,0.8,2.2,0,1
32,Mon,2020-06-29,22:00:00,Getafe,2–1,Real Sociedad,,Coliseum Alfonso Pérez,Adrián Cordero,1.1,0.8,2,1
33,Tue,2020-06-30,19:30:00,Mallorca,5–1,Celta Vigo,,Iberostar Estadi,Ricardo de Burgos,1.5,1.5,5,1
33,Tue,2020-06-30,21:00:00,Leganés,0–3,Sevilla,,Estadio Municipal de Butarque,César Soto,0.6,1.3,0,3
33,Tue,2020-06-30,22:00:00,Barcelona,2–2,Atlético Madrid,,Camp Nou,Alejandro Hernández,1.4,1.9,2,2
33,Wed,2020-07-01,19:30:00,Valencia,0–2,Athletic Club,,Estadio de Mestalla,Javier Estrada,1.3,0.7,0,2
33,Wed,2020-07-01,19:30:00,Alavés,0–2,Granada,,Estadio de Mendizorroza,Eduardo Prieto,1.1,1.1,0,2
33,Wed,2020-07-01,22:00:00,Betis,0–2,Villarreal,,Estadio Benito Villamarín,Jesús Gil,0.4,2.2,0,2
33,Wed,2020-07-01,22:00:00,Valladolid,0–0,Levante,,Estadio Municipal José Zorrilla,David Medié,1.7,0.2,0,0
33,Thu,2020-07-02,19:30:00,Eibar,0–2,Osasuna,,Estadio Municipal de Ipurúa,José Luis Munuera,1.0,0.9,0,2
33,Thu,2020-07-02,19:30:00,Real Sociedad,2–1,Espanyol,,Estadio Municipal de Anoeta,José Sánchez,1.4,0.2,2,1
33,Thu,2020-07-02,22:00:00,Real Madrid,1–0,Getafe,,Estadio Alfredo Di Stéfano,Juan Martínez,1.6,0.3,1,0
34,Fri,2020-07-03,22:00:00,Atlético Madrid,3–0,Mallorca,,Estadio Wanda Metropolitano,Alberola Rojas,3.4,0.8,3,0
34,Sat,2020-07-04,17:00:00,Celta Vigo,1–1,Betis,,Estadio de Balaídos,Pablo González,0.3,0.6,1,1
34,Sat,2020-07-04,19:30:00,Valladolid,1–0,Alavés,,Estadio Municipal José Zorrilla,Santiago Jaime,0.4,0.4,1,0
34,Sat,2020-07-04,22:00:00,Granada,2–2,Valencia,,Estadio Nuevo Los Cármenes,Adrián Cordero,1.9,0.6,2,2
34,Sun,2020-07-05,14:00:00,Athletic Club,0–1,Real Madrid,,San Mamés,José González,0.3,2.1,0,1
34,Sun,2020-07-05,17:00:00,Espanyol,0–1,Leganés,,RCDE Stadium,Guillermo Cuadra,0.4,0.4,0,1
34,Sun,2020-07-05,19:30:00,Osasuna,0–0,Getafe,,Estadio El Sadar,Mario Melero,0.5,0.2,0,0
34,Sun,2020-07-05,22:00:00,Villarreal,1–4,Barcelona,,Estadio de la Cerámica,Carlos del Cerro,1.0,3.0,1,4
34,Mon,2020-07-06,19:30:00,Levante,1–1,Real Sociedad,,Estadio Ciudad de Valencia,Valentín Pizarro,0.7,1.1,1,1
34,Mon,2020-07-06,22:00:00,Sevilla,1–0,Eibar,,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,1.0,1.4,1,0
35,Tue,2020-07-07,19:30:00,Valencia,2–1,Valladolid,,Estadio de Mestalla,Ricardo de Burgos,1.5,0.7,2,1
35,Tue,2020-07-07,22:00:00,Celta Vigo,1–1,Atlético Madrid,,Estadio de Balaídos,José Sánchez,0.3,1.4,1,1
35,Wed,2020-07-08,20:30:00,Betis,3–0,Osasuna,,Estadio Benito Villamarín,Alejandro Hernández,2.1,0.6,3,0
35,Wed,2020-07-08,20:30:00,Getafe,1–3,Villarreal,,Coliseum Alfonso Pérez,Javier Estrada,0.5,2.1,1,3
35,Wed,2020-07-08,22:00:00,Barcelona,1–0,Espanyol,,Camp Nou,José Luis Munuera,1.1,0.8,1,0
35,Thu,2020-07-09,19:30:00,Mallorca,2–0,Levante,,Iberostar Estadi,César Soto,1.3,1.1,2,0
35,Thu,2020-07-09,19:30:00,Eibar,0–0,Leganés,,Estadio Municipal de Ipurúa,Eduardo Prieto,0.3,0.3,0,0
35,Thu,2020-07-09,22:00:00,Athletic Club,1–2,Sevilla,,San Mamés,David Medié,0.8,1.6,1,2
35,Fri,2020-07-10,19:30:00,Real Sociedad,2–3,Granada,,Estadio Municipal de Anoeta,Juan Martínez,1.3,0.5,2,3
35,Fri,2020-07-10,22:00:00,Real Madrid,2–0,Alavés,,Estadio Alfredo Di Stéfano,Jesús Gil,3.1,1.1,2,0
36,Sat,2020-07-11,17:00:00,Osasuna,2–1,Celta Vigo,,Estadio El Sadar,Valentín Pizarro,1.4,1.2,2,1
36,Sat,2020-07-11,19:30:00,Valladolid,0–1,Barcelona,,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz,1.0,1.4,0,1
36,Sat,2020-07-11,22:00:00,Atlético Madrid,1–0,Betis,,Estadio Wanda Metropolitano,José González,0.7,1.3,1,0
36,Sun,2020-07-12,22:00:00,Sevilla,2–0,Mallorca,,Estadio Ramón Sánchez Pizjuán,Adrián Cordero,1.7,0.4,2,0
36,Sun,2020-07-12,14:00:00,Espanyol,0–2,Eibar,,RCDE Stadium,Carlos del Cerro,0.8,2.1,0,2
36,Sun,2020-07-12,17:00:00,Levante,1–2,Athletic Club,,Estadio Ciudad de Valencia,Alberola Rojas,1.2,1.0,1,2
36,Sun,2020-07-12,19:30:00,Leganés,1–0,Valencia,,Estadio Municipal de Butarque,Mario Melero,1.3,1.3,1,0
36,Mon,2020-07-13,19:30:00,Alavés,0–0,Getafe,,Estadio de Mendizorroza,Pablo González,0.2,1.0,0,0
36,Mon,2020-07-13,19:30:00,Villarreal,1–2,Real Sociedad,,Estadio de la Cerámica,Guillermo Cuadra,0.3,0.9,1,2
36,Mon,2020-07-13,22:00:00,Granada,1–2,Real Madrid,,Estadio Nuevo Los Cármenes,Santiago Jaime,0.9,0.5,1,2
37,Thu,2020-07-16,18:30:00,Eibar,3–1,Valladolid,,Estadio Municipal de Ipurúa,César Soto,2.4,1.8,3,1
37,Thu,2020-07-16,21:00:00,Valencia,1–0,Espanyol,,Estadio de Mestalla,Eduardo Prieto,1.3,0.8,1,0
37,Thu,2020-07-16,21:00:00,Barcelona,1–2,Osasuna,,Camp Nou,José Sánchez,1.4,0.7,1,2
37,Thu,2020-07-16,21:00:00,Athletic Club,0–2,Leganés,,San Mamés,Juan Martínez,0.6,1.6,0,2
37,Thu,2020-07-16,21:00:00,Celta Vigo,2–3,Levante,,Estadio de Balaídos,José Luis Munuera,1.4,1.0,2,3
37,Thu,2020-07-16,21:00:00,Real Sociedad,0–0,Sevilla,,Estadio Municipal de Anoeta,Carlos del Cerro,0.6,0.5,0,0
37,Thu,2020-07-16,21:00:00,Getafe,0–2,Atlético Madrid,,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,1.4,1.3,0,2
37,Thu,2020-07-16,21:00:00,Betis,1–2,Alavés,,Estadio Benito Villamarín,David Medié,1.7,1.5,1,2
37,Thu,2020-07-16,21:00:00,Real Madrid,2–1,Villarreal,,Estadio Alfredo Di Stéfano,Alejandro Hernández,1.7,0.7,2,1
37,Thu,2020-07-16,21:00:00,Mallorca,1–2,Granada,,Iberostar Estadi,Javier Estrada,1.3,0.7,1,2
38,Sun,2020-07-19,17:00:00,Alavés,0–5,Barcelona,,Estadio de Mendizorroza,Juan Martínez,0.4,3.0,0,5
38,Sun,2020-07-19,18:30:00,Valladolid,2–0,Betis,,Estadio Municipal José Zorrilla,Santiago Jaime,1.7,0.6,2,0
38,Sun,2020-07-19,18:30:00,Villarreal,4–0,Eibar,,Estadio de la Cerámica,Alberola Rojas,2.1,0.6,4,0
38,Sun,2020-07-19,21:00:00,Levante,1–0,Getafe,,Estadio Ciudad de Valencia,Ricardo de Burgos,2.1,2.0,1,0
38,Sun,2020-07-19,21:00:00,Leganés,2–2,Real Madrid,,Estadio Municipal de Butarque,Guillermo Cuadra,1.4,1.2,2,2
38,Sun,2020-07-19,21:00:00,Osasuna,2–2,Mallorca,,Estadio El Sadar,Antonio Matéu Lahoz,0.8,0.6,2,2
38,Sun,2020-07-19,21:00:00,Granada,4–0,Athletic Club,,Estadio Nuevo Los Cármenes,Carlos del Cerro,2.2,0.6,4,0
38,Sun,2020-07-19,21:00:00,Atlético Madrid,1–1,Real Sociedad,,Estadio Wanda Metropolitano,Pablo González,1.1,0.3,1,1
38,Sun,2020-07-19,21:00:00,Espanyol,0–0,Celta Vigo,,RCDE Stadium,Adrián Cordero,0.4,0.5,0,0
38,Sun,2020-07-19,21:00:00,Sevilla,1–0,Valencia,,Estadio Ramón Sánchez Pizjuán,José González,0.7,0.3,1,0
1,Sat,2020-09-12,21:00:00,Cádiz,0–2,Osasuna,,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,1.1,0.9,0,2
1,Sat,2020-09-12,16:00:00,Eibar,0–0,Celta Vigo,,Estadio Municipal de Ipurúa,Valentín Pizarro,0.4,0.9,0,0
1,Sat,2020-09-12,18:30:00,Granada,2–0,Athletic Club,,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,0.3,0.9,2,0
1,Sun,2020-09-13,16:00:00,Valladolid,1–1,Real Sociedad,,Estadio Municipal José Zorrilla,Mario Melero,0.6,0.2,1,1
1,Sun,2020-09-13,14:00:00,Alavés,0–1,Betis,,Estadio de Mendizorroza,Pablo González,1.0,0.6,0,1
1,Sun,2020-09-13,21:00:00,Valencia,4–2,Levante,,Estadio de Mestalla,José Sánchez,1.8,2.0,4,2
1,Sun,2020-09-13,18:30:00,Villarreal,1–1,Huesca,,Estadio de la Cerámica,Javier Estrada,2.1,0.5,1,1
2,Sat,2020-09-19,18:30:00,Getafe,1–0,Osasuna,,Coliseum Alfonso Pérez,Alejandro Hernández,0.4,0.4,1,0
2,Sat,2020-09-19,16:00:00,Villarreal,2–1,Eibar,,Estadio de la Cerámica,Jorge Figueroa,2.2,1.1,2,1
2,Sat,2020-09-19,21:00:00,Celta Vigo,2–1,Valencia,,Estadio de Balaídos,Jesús Gil,2.3,0.5,2,1
